Time,V(R5:2)
1.690234641893e-05,3.955838586603e-05
1.751317481859e-05,3.955838586732e-05
1.809081535203e-05,3.955838586715e-05
1.867961387498e-05,3.955838586921e-05
1.922702293260e-05,3.955838587367e-05
1.974257926805e-05,3.955838585561e-05
2.022170524461e-05,3.955838586944e-05
2.087621192796e-05,3.955838585589e-05
2.158469657762e-05,3.955838586158e-05
2.216758231981e-05,3.955838586153e-05
2.270726661546e-05,3.955838585124e-05
2.320126991136e-05,3.955838586451e-05
2.383555869920e-05,3.955838586133e-05
2.436027030809e-05,3.955838587399e-05
2.485751609666e-05,3.955838585773e-05
2.532171707017e-05,3.955838586938e-05
2.594828109605e-05,3.955838587655e-05
2.653736572130e-05,3.955838585895e-05
2.715925674302e-05,3.955838587166e-05
2.777761916978e-05,3.955838587243e-05
2.852243881089e-05,3.955838586349e-05
2.901586990220e-05,3.955838586935e-05
2.954210739000e-05,3.955838586568e-05
3.011946182115e-05,3.955838587027e-05
3.077930908067e-05,3.955838586399e-05
3.125748138292e-05,3.955838586584e-05
3.171348075731e-05,3.955838587305e-05
3.226994972093e-05,3.955838586696e-05
3.292188148362e-05,3.955838587250e-05
3.345155219896e-05,3.955838586677e-05
3.400620918138e-05,3.955838585678e-05
3.452720146043e-05,3.955838586880e-05
3.525084953172e-05,3.955838587414e-05
3.603410224778e-05,3.955838585210e-05
3.667582969529e-05,3.955838587720e-05
3.729896049363e-05,3.955838585966e-05
3.827037315233e-05,3.955838586205e-05
3.884639243944e-05,3.955838586064e-05
3.942012290818e-05,3.955838585435e-05
4.008445243699e-05,3.955838585847e-05
4.081000785692e-05,3.955838586478e-05
4.138478736741e-05,3.955838587227e-05
4.198216895921e-05,3.955838587279e-05
4.288148383958e-05,3.955838585616e-05
4.350347022874e-05,3.955838586258e-05
4.411944846971e-05,3.955838586410e-05
4.471377830369e-05,3.955838585575e-05
4.538888435228e-05,3.955838587006e-05
4.590777854783e-05,3.955838586308e-05
4.645461540086e-05,3.955838587447e-05
4.705523948533e-05,3.955838586088e-05
4.774999122484e-05,3.955838585561e-05
4.827880363328e-05,3.955838586005e-05
4.887971382005e-05,3.955838586645e-05
4.950713615281e-05,3.955838586108e-05
5.000000108000e-05,3.955838586281e-05
5.000000117200e-05,3.955838598811e-05
5.000000135599e-05,3.955838598812e-05
5.000000172397e-05,3.955838585824e-05
5.000000208000e-05,3.955838590394e-05
5.000000216000e-05,3.955838598812e-05
5.000000232000e-05,3.955838598811e-05
5.000000264001e-05,3.955838598811e-05
5.000000328002e-05,3.955838592318e-05
5.000000456004e-05,3.955838589072e-05
5.000000712009e-05,3.955838586400e-05
5.000001224018e-05,3.955838586403e-05
5.000002248036e-05,3.955838587059e-05
5.000004296073e-05,3.955838587191e-05
5.000008392146e-05,3.955838587519e-05
5.000016584292e-05,3.955838587322e-05
5.000032968585e-05,3.955838587320e-05
5.000065737169e-05,3.955838587334e-05
5.000131274339e-05,3.955838587350e-05
5.000262348678e-05,3.955838587343e-05
5.000524497356e-05,3.955838587345e-05
5.001048794713e-05,3.955838587318e-05
5.002097389426e-05,3.955838587243e-05
5.004194578853e-05,3.955838586981e-05
5.007787546840e-05,3.955838586789e-05
5.011705360141e-05,3.955838586774e-05
5.019540986743e-05,3.955838586786e-05
5.035212239947e-05,3.955838587098e-05
5.066554746356e-05,3.955838586835e-05
5.116679868426e-05,3.955838585233e-05
5.169341764178e-05,3.955838586538e-05
5.235116681781e-05,3.955838586279e-05
5.302255353656e-05,3.955838587136e-05
5.366151532855e-05,3.955838587474e-05
5.411842069354e-05,3.955838587034e-05
5.456025800433e-05,3.955838586887e-05
5.506046018329e-05,3.955838585613e-05
5.553028783526e-05,3.955838586479e-05
5.610087117877e-05,3.955838586789e-05
5.668394765582e-05,3.955838586187e-05
5.718481740680e-05,3.955838586062e-05
5.775320729937e-05,3.955838586754e-05
5.843460759845e-05,3.955838586655e-05
5.889284810748e-05,3.955838586069e-05
5.933354100909e-05,3.955838587535e-05
5.993092260089e-05,3.955838585082e-05
