  Time                 , V(Ri:1)              , V(R4:2)              
  3.585434112742e-04  ,5.633195203513e-02  ,-1.042730898580e+00  
  3.657303009226e-04  ,9.791145159901e-02  ,-1.935161488657e+00  
  3.723327789499e-04  ,8.773421571261e-02  ,-1.794806336085e+00  
  3.787155304148e-04  ,3.788255561430e-02  ,-8.476024450413e-01  
  3.860687408640e-04  ,-3.865611737535e-02  ,6.818462203112e-01  
  3.929565582468e-04  ,-9.055253825934e-02  ,1.765736888534e+00  
  4.003097686960e-04  ,-9.403131681477e-02  ,1.909486984119e+00  
  4.076629791453e-04  ,-4.242400041310e-02  ,9.352042480442e-01  
  4.150161895945e-04  ,3.403644571576e-02  ,-5.875808150547e-01  
  4.223694000437e-04  ,9.055741907945e-02  ,-1.765786878912e+00  
  4.297226104929e-04  ,9.402740097073e-02  ,-1.910027329338e+00  
  4.370758209421e-04  ,4.241358191252e-02  ,-9.350959554936e-01  
  4.444290313914e-04  ,-3.404726343275e-02  ,5.873057458721e-01  
  4.517822418406e-04  ,-9.056229870093e-02  ,1.765762857392e+00  
  4.591354522898e-04  ,-9.402348388213e-02  ,1.909506446131e+00  
  4.664886627390e-04  ,-4.240316285056e-02  ,9.346715087656e-01  
  4.738418731882e-04  ,3.405808069908e-02  ,-5.879168209207e-01  
  4.811950836374e-04  ,9.056717712372e-02  ,-1.766086609976e+00  
  4.885482940867e-04  ,9.401956554903e-02  ,-1.909822871718e+00  
  4.959015045359e-04  ,4.239274322733e-02  ,-9.347463290598e-01  
  5.032547149851e-04  ,-3.406889751462e-02  ,5.877916220629e-01  
  5.106079254343e-04  ,-9.057205434774e-02  ,1.765939831930e+00  
  5.179611358835e-04  ,-9.401564597146e-02  ,1.909402448766e+00  
  5.253143463328e-04  ,-4.238232304299e-02  ,9.342394573883e-01  
  5.326675567820e-04  ,3.407971387922e-02  ,-5.883350668865e-01  
  5.400207672312e-04  ,9.057693037294e-02  ,-1.766319058391e+00  
  5.473739776804e-04  ,9.401172514949e-02  ,-1.909673188251e+00  
  5.547271881296e-04  ,4.237190229767e-02  ,-9.343518301721e-01  
  5.620803985789e-04  ,-3.409052979273e-02  ,5.882408511825e-01  
  5.694336090281e-04  ,-9.058180519924e-02  ,1.766146631703e+00  
  5.767868194773e-04  ,-9.400780308316e-02  ,1.909273892474e+00  
  5.841400299265e-04  ,-4.236148099150e-02  ,9.338273603184e-01  
  5.914932403757e-04  ,3.410134525501e-02  ,-5.887696484839e-01  
  5.988464508249e-04  ,9.058667882659e-02  ,-1.766538018036e+00  
  6.061996612742e-04  ,9.400387977252e-02  ,-1.909534371862e+00  
  6.135528717234e-04  ,4.235105912464e-02  ,-9.339482959028e-01  
  6.209060821726e-04  ,-3.411216026593e-02  ,5.886826825146e-01  
  6.282592926218e-04  ,-9.059155125491e-02  ,1.766359382340e+00  
  6.356125030710e-04  ,-9.399995521764e-02  ,1.909140269704e+00  
  6.429657135203e-04  ,-4.234063669720e-02  ,9.334192983424e-01  
  6.503189239695e-04  ,3.412297482532e-02  ,-5.892075634161e-01  
  6.576721344187e-04  ,9.059642248416e-02  ,-1.766754108717e+00  
  6.650253448679e-04  ,9.399602941855e-02  ,-1.909397747959e+00  
  6.723785553171e-04  ,4.233021370934e-02  ,-9.335428128768e-01  
  6.797317657664e-04  ,-3.413378893307e-02  ,5.891229061266e-01  
  6.870849762156e-04  ,-9.060129251425e-02  ,1.766573351763e+00  
  6.944381866648e-04  ,-9.399210237532e-02  ,1.909005449763e+00  
  7.017913971140e-04  ,-4.231979016119e-02  ,9.330121059055e-01  
  7.091446075632e-04  ,3.414460258901e-02  ,-5.896462207457e-01  
  7.164978180124e-04  ,9.060616134512e-02  ,-1.766969451804e+00  
  7.238510284617e-04  ,9.398817408799e-02  ,-1.909261578699e+00  
  7.312042389109e-04  ,4.230936605288e-02  ,-9.331368056997e-01  
  7.385574493601e-04  ,-3.415541579300e-02  ,5.895626906353e-01  
  7.459106598093e-04  ,-9.061102897672e-02  ,1.766787580339e+00  
  7.532638702585e-04  ,-9.398424455662e-02  ,1.908870221703e+00  
  7.606170807078e-04  ,-4.229894138457e-02  ,9.326051332665e-01  
  7.679702911570e-04  ,3.416622854491e-02  ,-5.900850845659e-01  
  7.753235016062e-04  ,9.061589540898e-02  ,-1.767184489975e+00  
  7.826767120554e-04  ,9.398031378126e-02  ,-1.909125497666e+00  
  7.900299225046e-04  ,4.228851615637e-02  ,-9.327305784007e-01  
  7.973831329539e-04  ,-3.417704084459e-02  ,5.900022889153e-01  
  8.047363434031e-04  ,-9.062076064183e-02  ,1.767001857030e+00  
  8.120895538523e-04  ,-9.397638176196e-02  ,1.908734762267e+00  
  8.194427643015e-04  ,-4.227809036844e-02  ,9.321982318052e-01  
  8.267959747507e-04  ,3.418785269190e-02  ,-5.905240292969e-01  
  8.341491851999e-04  ,9.062562467520e-02  ,-1.767399329792e+00  
  8.415023956492e-04  ,9.397244849877e-02  ,-1.908989413923e+00  
  8.488556060984e-04  ,4.226766402091e-02  ,-9.323242090470e-01  
  8.562088165476e-04  ,-3.419866408669e-02  ,5.904417683234e-01  
  8.635620269968e-04  ,-9.063048750904e-02  ,1.767216123253e+00  
  8.709152374460e-04  ,-9.396851399175e-02  ,1.908599122738e+00  
  8.782684478953e-04  ,-4.225723711392e-02  ,9.317913563350e-01  
  8.856216583445e-04  ,3.420947502882e-02  ,-5.909630147626e-01  
  8.929748687937e-04  ,9.063534914328e-02  ,-1.767614007145e+00  
  9.003280792429e-04  ,9.396457824094e-02  ,-1.908853295147e+00  
  9.076812896921e-04  ,4.224680964760e-02  ,-9.319177269783e-01  
  9.150345001414e-04  ,-3.422028551815e-02  ,5.908811556032e-01  
  9.223877105906e-04  ,-9.064020957786e-02  ,1.767430354423e+00  
  9.297409210398e-04  ,-9.396064124640e-02  ,1.908463325826e+00  
  9.370941314890e-04  ,-4.223638162210e-02  ,9.313844857863e-01  
  9.444473419382e-04  ,3.423109555453e-02  ,-5.914020212531e-01  
  9.518005523875e-04  ,9.064506881270e-02  ,-1.767828540495e+00  
  9.591537628367e-04  ,9.395670300818e-02  ,-1.908717123960e+00  
  9.665069732859e-04  ,4.222595303754e-02  ,-9.315111486340e-01  
  9.738601837351e-04  ,-3.424190513782e-02  ,5.913204662813e-01  
  9.812133941843e-04  ,-9.064992684775e-02  ,1.767644535740e+00  
  9.885666046335e-04  ,-9.395276352634e-02  ,1.908327385628e+00  
  9.959198150828e-04  ,-4.221552389408e-02  ,9.309776067200e-01  
  1.000000000000e-03  ,2.941628240500e-16  ,9.194293945093e-02  
