  Time                 , V(R2:1)              , V(V1:+)              
  0.000000000000e+00  ,-1.623169393697e-05  ,-1.000000000000e+00  
  1.200000000000e-14  ,-1.623169393890e-05  ,-1.000000000000e+00  
  2.400000000000e-14  ,-1.623169393890e-05  ,-1.000000000000e+00  
  4.799929144303e-14  ,-1.623169393928e-05  ,-1.000000000000e+00  
  9.599787432910e-14  ,-1.623169393918e-05  ,-1.000000000000e+00  
  1.919950401012e-13  ,-1.623169393867e-05  ,-1.000000000000e+00  
  3.839893716455e-13  ,-1.623169393718e-05  ,-1.000000000000e+00  
  7.679780347340e-13  ,-1.623169393802e-05  ,-1.000000000000e+00  
  1.012000000000e-12  ,-1.623169393937e-05  ,-9.999999999520e-01  
  1.088797732618e-12  ,-1.623169393669e-05  ,-9.999999996448e-01  
  1.242388650380e-12  ,-1.623169393598e-05  ,-9.999999990304e-01  
  1.549570485903e-12  ,-1.623169393150e-05  ,-9.999999978017e-01  
  2.163934156951e-12  ,-1.623169391635e-05  ,-9.999999953443e-01  
  3.392661499046e-12  ,-1.623169384799e-05  ,-9.999999904294e-01  
  5.850116183237e-12  ,-1.623169358623e-05  ,-9.999999805995e-01  
  1.076502555162e-11  ,-1.623169258707e-05  ,-9.999999609399e-01  
  2.059484428838e-11  ,-1.623168464172e-05  ,-9.999999216206e-01  
  4.025448176190e-11  ,-1.623165398138e-05  ,-9.999998429821e-01  
  7.957375670895e-11  ,-1.623153941030e-05  ,-9.999996857050e-01  
  1.582123066030e-10  ,-1.623113602002e-05  ,-9.999993711508e-01  
  3.154894063912e-10  ,-1.622985007239e-05  ,-9.999987420424e-01  
  6.300436059676e-10  ,-1.622633612478e-05  ,-9.999974838256e-01  
  1.259152005120e-09  ,-1.621843280063e-05  ,-9.999949673920e-01  
  2.517368803426e-09  ,-1.620432028323e-05  ,-9.999899345248e-01  
  5.033802400037e-09  ,-1.619404009557e-05  ,-9.999798687904e-01  
  1.006666959326e-08  ,-1.631708409867e-05  ,-9.999597373216e-01  
  2.013240397970e-08  ,-1.765858191512e-05  ,-9.999194743841e-01  
  4.026387275259e-08  ,-2.813664745181e-05  ,-9.998389485090e-01  
  8.052681029837e-08  ,-9.904645625468e-05  ,-9.996778967588e-01  
  1.610526853899e-07  ,-5.164544382014e-04  ,-9.993557932584e-01  
  2.883205229143e-07  ,-2.037757806516e-03  ,-9.988467219083e-01  
  5.258331114153e-07  ,-7.643202651234e-03  ,-9.978966715543e-01  
  9.103069120745e-07  ,-2.276406026159e-02  ,-9.963587763517e-01  
  1.679254513393e-06  ,-5.892889703340e-02  ,-9.932829859464e-01  
  2.462984066616e-06  ,-7.942205356269e-02  ,-9.901480677335e-01  
