  Time                 , V(C1:1)              , V(U1A:OUT)           
  0.000000000000e+00  ,-1.000000000000e+00  ,-1.623169393697e-05  
  1.200000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  2.400000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  4.799929144303e-14  ,-1.000000000000e+00  ,-1.623169393928e-05  
  9.599787432910e-14  ,-1.000000000000e+00  ,-1.623169393918e-05  
  1.919950401012e-13  ,-1.000000000000e+00  ,-1.623169393867e-05  
  3.839893716455e-13  ,-1.000000000000e+00  ,-1.623169393718e-05  
  7.679780347340e-13  ,-1.000000000000e+00  ,-1.623169393802e-05  
  1.012000000000e-12  ,-9.999999997600e-01  ,-1.623169393903e-05  
  1.088797732618e-12  ,-9.999999982240e-01  ,-1.623169393509e-05  
  1.242388650380e-12  ,-9.999999951522e-01  ,-1.623169393161e-05  
  1.549570485903e-12  ,-9.999999890086e-01  ,-1.623169391209e-05  
  2.163934156951e-12  ,-9.999999767213e-01  ,-1.623169383347e-05  
  3.392661499046e-12  ,-9.999999521468e-01  ,-1.623169321840e-05  
  5.850116183237e-12  ,-9.999999029977e-01  ,-1.623169070740e-05  
  1.076502555162e-11  ,-9.999998046995e-01  ,-1.623168071194e-05  
  2.059484428838e-11  ,-9.999996081031e-01  ,-1.623164142267e-05  
  4.025448176190e-11  ,-9.999992149104e-01  ,-1.623148913681e-05  
  7.957375670895e-11  ,-9.999984285249e-01  ,-1.623091886435e-05  
  1.582123066030e-10  ,-9.999968557539e-01  ,-1.622890392616e-05  
  3.154894063912e-10  ,-9.999937102119e-01  ,-1.622247657210e-05  
  6.300436059676e-10  ,-9.999874191279e-01  ,-1.620491482631e-05  
  1.259152005120e-09  ,-9.999748369599e-01  ,-1.616540107679e-05  
  2.517368803426e-09  ,-9.999496726239e-01  ,-1.609482337724e-05  
  5.033802400037e-09  ,-9.998993439520e-01  ,-1.604343350880e-05  
  1.006666959326e-08  ,-9.997986866081e-01  ,-1.665864707298e-05  
  2.013240397970e-08  ,-9.995973719204e-01  ,-2.336613492915e-05  
  4.026387275259e-08  ,-9.991947425449e-01  ,-7.575648400832e-05  
  8.052681029837e-08  ,-9.983894837940e-01  ,-4.303058365441e-04  
  1.376936251024e-07  ,-9.972461474980e-01  ,-1.697488562264e-03  
  2.410003954272e-07  ,-9.951800120915e-01  ,-6.665326974131e-03  
  4.031965547899e-07  ,-9.919360889042e-01  ,-2.156979898290e-02  
  7.275888735155e-07  ,-9.854482425297e-01  ,-7.406719009441e-02  
  1.369411688457e-06  ,-9.726117862309e-01  ,-2.240274906167e-01  
  2.152855139385e-06  ,-9.569429172123e-01  ,-3.751088561550e-01  
  2.694256048808e-06  ,-9.461148990238e-01  ,-3.921915398510e-01  
  3.422100287090e-06  ,-9.315580142582e-01  ,-2.992893890433e-01  
  4.181606512676e-06  ,-9.163678897465e-01  ,-1.255638084593e-01  
  4.776127081523e-06  ,-9.044774783695e-01  ,-3.469346486133e-02  
  5.264980536113e-06  ,-8.947004092777e-01  ,-1.774927588394e-02  
  5.788166266094e-06  ,-8.842366946781e-01  ,-6.566487011858e-02  
  6.438667517314e-06  ,-8.712266696537e-01  ,-1.866943391891e-01  
  7.139808874736e-06  ,-8.572038425053e-01  ,-3.285861140121e-01  
  7.805473547588e-06  ,-8.438905490482e-01  ,-3.751961334663e-01  
  8.492691259990e-06  ,-8.301461948002e-01  ,-3.234257950188e-01  
  9.154159765850e-06  ,-8.169168246830e-01  ,-2.009893308856e-01  
  9.861500006328e-06  ,-8.027700198734e-01  ,-8.529560834792e-02  
  1.053288672508e-05  ,-7.893422854984e-01  ,-4.565691574680e-02  
  1.123145316185e-05  ,-7.753709567631e-01  ,-9.556785519066e-02  
  1.192868445457e-05  ,-7.614263309086e-01  ,-2.048902946354e-01  
  1.266339514793e-05  ,-7.467321170414e-01  ,-3.211656612297e-01  
  1.327889655174e-05  ,-7.344220889652e-01  ,-3.460162413604e-01  
  1.398280356468e-05  ,-7.203439487064e-01  ,-2.919446423667e-01  
  1.465314124168e-05  ,-7.069371951664e-01  ,-1.837549704756e-01  
  1.536877844871e-05  ,-6.926244510258e-01  ,-9.261357453393e-02  
  1.620009635032e-05  ,-6.759980929936e-01  ,-7.288039171458e-02  
  1.697314475120e-05  ,-6.605371249760e-01  ,-1.638759209288e-01  
  1.771710608543e-05  ,-6.456578982914e-01  ,-2.813758871750e-01  
  1.858103964866e-05  ,-6.283792270268e-01  ,-3.337733812119e-01  
  1.922219489158e-05  ,-6.155561221684e-01  ,-2.881032648296e-01  
  1.991227362693e-05  ,-6.017545474613e-01  ,-1.850315670063e-01  
  2.066949103416e-05  ,-5.866101993168e-01  ,-9.758541695339e-02  
  2.150271628440e-05  ,-5.699456943119e-01  ,-8.327225566970e-02  
  2.227280829490e-05  ,-5.545438541020e-01  ,-1.702290347173e-01  
  2.302096579612e-05  ,-5.395807040775e-01  ,-2.793004078943e-01  
  2.390025351585e-05  ,-5.219949496830e-01  ,-3.235753820988e-01  
  2.454026434959e-05  ,-5.091947330082e-01  ,-2.774562082322e-01  
  2.524569724144e-05  ,-4.950860751713e-01  ,-1.782321722784e-01  
  2.601721976341e-05  ,-4.796556247318e-01  ,-1.000247098410e-01  
  2.672379706443e-05  ,-4.655240787113e-01  ,-9.242584523127e-02  
  2.741864417137e-05  ,-4.516271365727e-01  ,-1.487612107272e-01  
  2.809746954979e-05  ,-4.380506290043e-01  ,-2.292676177937e-01  
