  Time                 , V(R2:1)              , V(R1:2)              
  0.000000000000e+00  ,-2.595060583551e+00  ,0.000000000000e+00  
  1.250000000000e-07  ,-2.595109857367e+00  ,7.853900888711e-03  
  2.500000000000e-07  ,-2.595256771359e+00  ,1.570731731182e-02  
  5.000057220459e-07  ,-2.595947792976e+00  ,3.141111842747e-02  
  1.000017166138e-06  ,-2.598113514619e+00  ,6.279159598119e-02  
  2.000040054321e-06  ,-2.607117203855e+00  ,1.253357304063e-01  
  4.000085830688e-06  ,-2.643619867062e+00  ,2.486951106345e-01  
  8.000177383423e-06  ,-2.787591473120e+00  ,4.817634407982e-01  
  1.600036048889e-05  ,-3.313043951637e+00  ,8.443400618615e-01  
  2.358474159241e-05  ,-3.981194197881e+00  ,9.960489271925e-01  
  2.514724159241e-05  ,-4.050848144787e+00  ,9.999572055297e-01  
  2.827224159241e-05  ,-4.058266390607e+00  ,9.789384632427e-01  
  3.151244544983e-05  ,-4.062072378855e+00  ,9.174437871181e-01  
  3.507918739319e-05  ,-4.064890099638e+00  ,8.060824726196e-01  
  4.221267127991e-05  ,-4.068534336331e+00  ,4.700013380763e-01  
  5.020827674866e-05  ,-4.070381454274e+00  ,-1.308604055580e-02  
  6.124038124084e-05  ,-3.986453991699e+00  ,-6.489883674084e-01  
  6.569594764709e-05  ,-3.591095772460e+00  ,-8.339379482485e-01  
  6.691607856750e-05  ,-3.497765767380e+00  ,-8.737542516852e-01  
  6.741160774231e-05  ,-3.454713411768e+00  ,-8.884714006887e-01  
  6.840266609192e-05  ,-3.365771511899e+00  ,-9.153086528504e-01  
  6.907195472717e-05  ,-3.304530742057e+00  ,-9.314312870575e-01  
  6.981677436829e-05  ,-3.235082637082e+00  ,-9.474360421114e-01  
  7.130641365051e-05  ,-3.092968236480e+00  ,-9.731912746544e-01  
  7.428569221497e-05  ,-2.800976017823e+00  ,-9.989930043242e-01  
  8.024424934387e-05  ,-2.224386177977e+00  ,-9.462023363274e-01  
  9.216136360168e-05  ,-1.380922098671e+00  ,-4.728443901754e-01  
  1.046613636017e-04  ,-1.262217192923e+00  ,2.887128007091e-01  
