  Time                 , V(R2:1)              , V(R1:2)              
  0.000000000000e+00  ,-2.595060583551e+00  ,0.000000000000e+00  
  2.500000000000e-07  ,-2.595208336091e+00  ,7.853900888711e-03  
  5.000000000000e-07  ,-2.595553238604e+00  ,1.570731731182e-02  
  1.000011444092e-06  ,-2.597026726773e+00  ,3.141111842747e-02  
  2.000034332275e-06  ,-2.601534660383e+00  ,6.279159598119e-02  
  4.000080108643e-06  ,-2.619891852723e+00  ,1.253357304063e-01  
  8.000171661377e-06  ,-2.693589319358e+00  ,2.486951106345e-01  
  1.600035476685e-05  ,-2.982836573001e+00  ,4.817634407982e-01  
  3.200072097778e-05  ,-4.035615667637e+00  ,8.443400618615e-01  
  4.405211257935e-05  ,-4.062426889490e+00  ,9.825927082984e-01  
  5.318754959106e-05  ,-4.065493288421e+00  ,9.949901964656e-01  
  6.295470046997e-05  ,-4.067242077797e+00  ,9.183188879039e-01  
  7.274473953247e-05  ,-4.068445386338e+00  ,7.553901150162e-01  
  8.415983963013e-05  ,-4.069327917699e+00  ,4.773472359374e-01  
  1.025710945129e-04  ,-4.068210674648e+00  ,-8.068551303972e-02  
  1.134002571106e-04  ,-3.951977488746e+00  ,-4.086564468685e-01  
  1.184654121399e-04  ,-3.665376110123e+00  ,-5.481142976927e-01  
  1.197770957947e-04  ,-3.598578214223e+00  ,-5.821055492334e-01  
  1.203330879211e-04  ,-3.566193545497e+00  ,-5.962186853445e-01  
  1.208479766846e-04  ,-3.535319831867e+00  ,-6.091263344442e-01  
  1.217079048157e-04  ,-3.482447053858e+00  ,-6.303266821681e-01  
  1.226113204956e-04  ,-3.424974692643e+00  ,-6.521033908299e-01  
  1.244181518555e-04  ,-3.304264588312e+00  ,-6.940639545262e-01  
  1.280318145752e-04  ,-3.041447203269e+00  ,-7.711499531169e-01  
  1.352591400146e-04  ,-2.443525140258e+00  ,-8.946729493064e-01  
  1.497137908936e-04  ,-1.082481389450e+00  ,-9.999595765181e-01  
  1.666937713623e-04  ,4.282078924041e-01  ,-8.655993303015e-01  
  1.869086151123e-04  ,1.702591689145e+00  ,-3.997810696179e-01  
  2.119086151123e-04  ,1.749484586061e+00  ,3.654537058976e-01  
  2.369086151123e-04  ,1.589052310399e-01  ,9.166106569177e-01  
  2.619086151123e-04  ,-2.137420275329e+00  ,9.308295165312e-01  
  2.869086151123e-04  ,-3.794350129913e+00  ,3.997810696179e-01  
  3.119086151123e-04  ,-3.841291029182e+00  ,-3.654537058976e-01  
  3.369086151123e-04  ,-2.250760208792e+00  ,-9.166106569177e-01  
  3.619086151123e-04  ,4.551716611949e-02  ,-9.308295165312e-01  
  3.869086151123e-04  ,1.702398599012e+00  ,-3.997810696179e-01  
  4.099738006592e-04  ,1.811292889907e+00  ,3.082340974588e-01  
  4.349738006592e-04  ,3.243024376425e-01  ,8.906325534804e-01  
  4.599738006592e-04  ,-1.964932462734e+00  ,9.513105387642e-01  
  4.849738006592e-04  ,-3.715422971793e+00  ,4.547237124683e-01  
  5.099738006592e-04  ,-3.901769843668e+00  ,-3.082340974588e-01  
  5.130988006592e-04  ,-3.792239729830e+00  ,-3.999946046056e-01  
  5.193488006592e-04  ,-3.491422680913e+00  ,-5.711125134203e-01  
  5.318488006592e-04  ,-2.614823323118e+00  ,-8.417731963646e-01  
  5.568488006592e-04  ,-3.549244407740e-01  ,-9.769419432854e-01  
  5.818488006592e-04  ,1.532836956189e+00  ,-5.398313494807e-01  
  6.050482635498e-04  ,1.977200651819e+00  ,1.579318612990e-01  
  6.300482635498e-04  ,7.777650130114e-01  ,8.099072900116e-01  
  6.550482635498e-04  ,-1.455402423201e+00  ,9.874500125002e-01  
  6.800482635498e-04  ,-3.414154274727e+00  ,5.865579098317e-01  
  7.050482635498e-04  ,-3.951097756652e+00  ,-1.579318612990e-01  
  7.300482635498e-04  ,-2.751710579000e+00  ,-8.099072900115e-01  
  7.550482635498e-04  ,-5.185949765183e-01  ,-9.874500125002e-01  
  7.737707977295e-04  ,9.411074728274e-01  ,-7.338788379325e-01  
  7.928748016357e-04  ,1.851858617740e+00  ,-2.219800420149e-01  
  8.178748016357e-04  ,1.470042806860e+00  ,5.325017291722e-01  
  8.428748016357e-04  ,-4.014230405740e-01  ,9.750512093973e-01  
  8.678748016357e-04  ,-2.666272267066e+00  ,8.464289151657e-01  
  8.928748016357e-04  ,-3.997802031709e+00  ,2.219800420149e-01  
  9.178748016357e-04  ,-3.616032916733e+00  ,-5.325017291722e-01  
  9.428748016357e-04  ,-1.744615273722e+00  ,-9.750512093973e-01  
  9.678748016357e-04  ,5.201871748857e-01  ,-8.464289151657e-01  
  9.928748016357e-04  ,1.851668896231e+00  ,-2.219800420149e-01  
  1.017093551636e-03  ,1.507005809299e+00  ,5.115689441716e-01  
  1.042093551636e-03  ,-3.312194763867e-01  ,9.693098792641e-01  
  1.067093551636e-03  ,-2.604756325994e+00  ,8.592422332260e-01  
  1.092093551636e-03  ,-3.981812412305e+00  ,2.458421403278e-01  
  1.117093551636e-03  ,-3.655739987667e+00  ,-5.115689441716e-01  
  1.142093551636e-03  ,-1.817562633668e+00  ,-9.693098792641e-01  
  1.167093551636e-03  ,4.559272484049e-01  ,-8.592422332260e-01  
  1.192093551636e-03  ,1.832935563036e+00  ,-2.458421403278e-01  
  1.216144454956e-03  ,1.550116932521e+00  ,4.857255425274e-01  
  1.241144454956e-03  ,-2.462386018357e-01  ,9.615499062707e-01  
  1.266144454956e-03  ,-2.528486696346e+00  ,8.741113758191e-01  
  1.291144454956e-03  ,-3.959731627530e+00  ,2.746302564373e-01  
  1.316144454956e-03  ,-3.701583001546e+00  ,-4.857255425274e-01  
  1.341144454956e-03  ,-1.905275084395e+00  ,-9.615499062707e-01  
  1.366144454956e-03  ,3.769258108102e-01  ,-8.741113758191e-01  
  1.391144454956e-03  ,1.808123281355e+00  ,-2.746302564373e-01  
  1.414984786987e-03  ,1.600043280020e+00  ,4.535646083656e-01  
  1.439984786987e-03  ,-1.429893054379e-01  ,9.509087189147e-01  
  1.464984786987e-03  ,-2.433126770199e+00  ,8.912233985024e-01  
  1.489984786987e-03  ,-3.928851368261e+00  ,3.094714983517e-01  
  1.514984786987e-03  ,-3.754001905109e+00  ,-4.535646083656e-01  
  1.539984786987e-03  ,-2.011016585184e+00  ,-9.509087189147e-01  
  1.564984786987e-03  ,2.790734055140e-01  ,-8.912233985024e-01  
  1.589984786987e-03  ,1.774750886530e+00  ,-3.094714983516e-01  
  1.613565719604e-03  ,1.656895409120e+00  ,4.133952019046e-01  
  1.638565719604e-03  ,-1.774693206983e-02  ,9.361718356338e-01  
  1.663565719604e-03  ,-2.313402631299e+00  ,9.105517047605e-01  
  1.688565719604e-03  ,-3.885320838895e+00  ,3.515427344804e-01  
  1.713565719604e-03  ,-3.812707754578e+00  ,-4.133952019046e-01  
  1.738565719604e-03  ,-2.138112300645e+00  ,-9.361718356338e-01  
  1.763565719604e-03  ,1.574956056789e-01  ,-9.105517047605e-01  
  1.788565719604e-03  ,1.729367060273e+00  ,-3.515427344804e-01  
  1.811814010620e-03  ,1.720428948040e+00  ,3.626855888614e-01  
  1.836814010620e-03  ,1.347820982865e-01  ,9.154184258886e-01  
  1.861814010620e-03  ,-1.939211023451e+00  ,9.319115642765e-01  
  1.886814010620e-03  ,-3.600864303258e+00  ,4.025035472435e-01  
  1.911814010620e-03  ,-3.654632229675e+00  ,-3.626855888614e-01  
  1.936814010620e-03  ,-2.069036353009e+00  ,-9.154184258886e-01  
  1.961814010620e-03  ,2.270889783123e-01  ,-9.319115642765e-01  
  1.986814010620e-03  ,1.888686921310e+00  ,-4.025035472435e-01  
  2.011109054565e-03  ,1.871556160301e+00  ,3.419594306804e-01  
  2.036109054565e-03  ,3.230911608246e-01  ,9.062804805027e-01  
  2.061109054565e-03  ,-1.971331827656e+00  ,9.397147161606e-01  
  2.086109054565e-03  ,-3.667690525142e+00  ,4.226768158532e-01  
  2.111109054565e-03  ,-3.772291514224e+00  ,-3.419594306804e-01  
  2.136109054565e-03  ,-2.223880420949e+00  ,-9.062804805027e-01  
  2.161109054565e-03  ,7.049381766435e-02  ,-9.397147161606e-01  
  2.186109054565e-03  ,1.766798810229e+00  ,-4.226768158532e-01  
  2.209616744995e-03  ,1.917029960503e+00  ,2.975438560522e-01  
  2.234616744995e-03  ,4.497654533114e-01  ,8.854758859928e-01  
  2.259616744995e-03  ,-1.837235858883e+00  ,9.547081510732e-01  
  2.284616744995e-03  ,-3.604298079578e+00  ,4.646853293630e-01  
  2.309616744995e-03  ,-3.816311762769e+00  ,-2.975438560522e-01  
  2.334616744995e-03  ,-2.349100516585e+00  ,-8.854758859928e-01  
  2.359616744995e-03  ,-6.214863499496e-02  ,-9.547081510732e-01  
  2.384616744995e-03  ,1.704860498078e+00  ,-4.646853293630e-01  
  2.407746017456e-03  ,1.966044227496e+00  ,2.409536337301e-01  
  2.432746017456e-03  ,6.051032494539e-01  ,8.566529794482e-01  
  2.457746017456e-03  ,-1.665498405262e+00  ,9.705366280529e-01  
  2.482746017456e-03  ,-3.515690419436e+00  ,5.158930827240e-01  
  2.507746017456e-03  ,-3.861668178268e+00  ,-2.409536337301e-01  
  2.532746017456e-03  ,-2.500779854976e+00  ,-8.566529794482e-01  
  2.557746017456e-03  ,-2.302283368489e-01  ,-9.705366280529e-01  
  2.582746017456e-03  ,1.619911158868e+00  ,-5.158930827241e-01  
  2.605374801636e-03  ,2.015042473808e+00  ,1.680531261003e-01  
  2.630374801636e-03  ,7.955746583116e-01  ,8.158817711177e-01  
  2.655374801636e-03  ,-1.442982648985e+00  ,9.857779399073e-01  
  2.680374801636e-03  ,-3.389329320110e+00  ,5.782187609875e-01  
  2.705374801636e-03  ,-3.903335803064e+00  ,-1.680531261003e-01  
  2.730374801636e-03  ,-2.683920272115e+00  ,-8.158817711177e-01  
  2.755374801636e-03  ,-4.454138699179e-01  ,-9.857779399073e-01  
  2.774536788940e-03  ,1.028709439110e+00  ,-7.173215110795e-01  
  2.794196212769e-03  ,1.910064414755e+00  ,-1.813227720499e-01  
  2.819196212769e-03  ,1.434583521150e+00  ,5.671709617099e-01  
  2.844196212769e-03  ,-4.905298906738e-01  ,9.834236382842e-01  
  2.869196212769e-03  ,-2.737583409308e+00  ,8.236000851099e-01  
  2.894196212769e-03  ,-3.990299016038e+00  ,1.813227720499e-01  
  2.919196212769e-03  ,-3.514865976877e+00  ,-5.671709617099e-01  
  2.944196212769e-03  ,-1.589801840188e+00  ,-9.834236382842e-01  
  2.969196212769e-03  ,6.572039131183e-01  ,-8.236000851100e-01  
  2.993472946167e-03  ,1.900522299492e+00  ,-2.036194842690e-01  
  3.018472946167e-03  ,1.476216923818e+00  ,5.483122493650e-01  
  3.043472946167e-03  ,-4.199383137199e-01  ,9.790501037363e-01  
  3.068472946167e-03  ,-2.677214291283e+00  ,8.362736855817e-01  
  3.093472946167e-03  ,-3.973344875228e+00  ,2.036194842690e-01  
  3.118472946167e-03  ,-3.549087282429e+00  ,-5.483122493650e-01  
  3.143472946167e-03  ,-1.652981422700e+00  ,-9.790501037363e-01  
  3.168472946167e-03  ,6.042466719600e-01  ,-8.362736855817e-01  
  3.193418014526e-03  ,1.899573704496e+00  ,-2.053087547827e-01  
  3.218018234253e-03  ,1.498808886617e+00  ,5.363103768690e-01  
  3.243018234253e-03  ,-3.786382802376e-01  ,9.760415642796e-01  
  3.268018234253e-03  ,-2.641744775822e+00  ,8.440208407751e-01  
  3.293018234253e-03  ,-3.964828680717e+00  ,2.175841556701e-01  
  3.318018234253e-03  ,-3.572858664141e+00  ,-5.363103768690e-01  
  3.343018234253e-03  ,-1.695460650926e+00  ,-9.760415642796e-01  
  3.368018234253e-03  ,5.675977700226e-01  ,-8.440208407751e-01  
  3.393018234253e-03  ,1.890632701358e+00  ,-2.175841556701e-01  
