  Time                 , V(R2:1)              , V(R1:2)              
  2.169429893398e-03  ,-4.065014563887e+00  ,8.745753788339e-01  
  2.180706138515e-03  ,-4.066548437387e+00  ,9.067072376349e-01  
  2.191385764980e-03  ,-4.066926819073e+00  ,9.329464685937e-01  
  2.202465171719e-03  ,-4.067102347265e+00  ,9.557286463205e-01  
  2.223000450039e-03  ,-4.067233987401e+00  ,9.856450725517e-01  
  2.264071006680e-03  ,-4.067381821609e+00  ,9.960943153585e-01  
  2.346212119961e-03  ,-4.067659059450e+00  ,8.227758165936e-01  
  2.446395225430e-03  ,-4.066733509783e+00  ,3.304768162819e-01  
  2.557186241055e-03  ,-2.203090859043e+00  ,-3.516300184974e-01  
  2.605770225430e-03  ,3.186096862073e-01  ,-6.167237922259e-01  
  2.620122642422e-03  ,1.251578426638e+00  ,-6.851086349657e-01  
  2.634357566738e-03  ,2.265568775761e+00  ,-7.474355625478e-01  
  2.647797508144e-03  ,3.298696108739e+00  ,-8.008056254812e-01  
  2.649303932095e-03  ,3.419008111745e+00  ,-8.064385725678e-01  
  2.652316779995e-03  ,3.662164857588e+00  ,-8.174872263740e-01  
  2.655620307827e-03  ,3.932538310819e+00  ,-8.292650118584e-01  
  2.656083555126e-03  ,3.970764222484e+00  ,-8.308881401529e-01  
  2.657010049725e-03  ,4.043191426506e+00  ,-8.341132652326e-01  
  2.657907361889e-03  ,4.051598001122e+00  ,-8.372098625693e-01  
  2.658718175793e-03  ,4.054473992991e+00  ,-8.399850719101e-01  
  2.659992856884e-03  ,4.057239452973e+00  ,-8.443038759298e-01  
  2.662320585155e-03  ,4.060194539904e+00  ,-8.520506117967e-01  
  2.666934842968e-03  ,4.063251454149e+00  ,-8.668666746616e-01  
  2.674186582470e-03  ,4.065448478233e+00  ,-8.886746186639e-01  
  2.685124082470e-03  ,4.066626881431e+00  ,-9.180639763960e-01  
  2.696690244579e-03  ,4.066972125307e+00  ,-9.444250796245e-01  
  2.708265561962e-03  ,4.067123646152e+00  ,-9.658155283728e-01  
  2.731416196728e-03  ,4.067219675102e+00  ,-9.931906533088e-01  
  2.777717466259e-03  ,4.067401885905e+00  ,-9.848734860080e-01  
  2.870320005322e-03  ,4.067700920399e+00  ,-7.275907683294e-01  
  2.963020200634e-03  ,4.066108614782e+00  ,-2.302659149478e-01  
  3.030537290478e-03  ,3.386086509120e+00  ,1.906963397689e-01  
  3.066670102978e-03  ,2.157587864510e+00  ,4.067563673221e-01  
  3.076446409130e-03  ,1.730900999309e+00  ,4.620691579537e-01  
