  Time                 , V(V1:+)              , V(U1A:OUT)           
  1.055036978275e-05  ,1.000000000000e+00  ,3.719148227234e+00  
  1.098982290775e-05  ,1.000000000000e+00  ,3.675500423723e+00  
  1.186872915775e-05  ,1.000000000000e+00  ,3.588055394790e+00  
  1.287313894779e-05  ,1.000000000000e+00  ,3.488183183504e+00  
  1.488195852786e-05  ,1.000000000000e+00  ,3.288412158238e+00  
  1.889959768802e-05  ,1.000000000000e+00  ,2.888883981691e+00  
  2.693487600833e-05  ,1.000000000000e+00  ,2.089829183695e+00  
  4.300543264896e-05  ,1.000000000000e+00  ,4.917279028678e-01  
  7.514654593021e-05  ,1.000000000000e+00  ,-2.704425294413e+00  
  7.799459890872e-05  ,1.000000000000e+00  ,-2.987636199345e+00  
  8.369070486576e-05  ,1.000000000000e+00  ,-3.554056573774e+00  
  8.834463552982e-05  ,1.000000000000e+00  ,-4.016841417616e+00  
  9.252020315677e-05  ,1.000000000000e+00  ,-4.057620752737e+00  
  9.632994131595e-05  ,1.000000000000e+00  ,-4.061615519943e+00  
  1.005505223706e-04  ,1.000000000000e+00  ,-4.063993715824e+00  
  1.058994908765e-04  ,1.000000000000e+00  ,-4.065595208712e+00  
  1.122364659742e-04  ,1.000000000000e+00  ,-4.066525203533e+00  
  1.246800084546e-04  ,1.000000000000e+00  ,-4.067131972841e+00  
  1.396031041577e-04  ,1.000000000000e+00  ,-4.067325051372e+00  
  1.673161168531e-04  ,1.000000000000e+00  ,-4.067381501303e+00  
  2.227421422437e-04  ,1.000000000000e+00  ,-4.067364882734e+00  
  3.335941930249e-04  ,1.000000000000e+00  ,-4.067345772769e+00  
  4.535893102124e-04  ,1.000000000000e+00  ,-4.067343911834e+00  
  5.000000020120e-04  ,9.760001006140e-01  ,-4.067395972760e+00  
  5.000000021108e-04  ,7.784001339207e-01  ,-4.067396245205e+00  
  5.000000023084e-04  ,3.831791670118e-01  ,-4.067397418351e+00  
  5.000000027036e-04  ,-4.072627668059e-01  ,-4.067402780121e+00  
  5.000000030120e-04  ,-1.000000000000e+00  ,-4.067409755393e+00  
  5.000000030910e-04  ,-1.000000000000e+00  ,-4.067411848977e+00  
  5.000000032491e-04  ,-1.000000000000e+00  ,-4.067416035780e+00  
  5.000000035653e-04  ,-1.000000000000e+00  ,-4.067424408036e+00  
  5.000000041977e-04  ,-1.000000000000e+00  ,-4.067441144647e+00  
  5.000000054624e-04  ,-1.000000000000e+00  ,-4.067474563701e+00  
  5.000000079919e-04  ,-1.000000000000e+00  ,-4.067541230102e+00  
  5.000000130509e-04  ,-1.000000000000e+00  ,-4.067673878948e+00  
  5.000000231688e-04  ,-1.000000000000e+00  ,-4.067936464229e+00  
  5.000000434047e-04  ,-1.000000000000e+00  ,-4.068450969031e+00  
  5.000000838765e-04  ,-1.000000000000e+00  ,-4.069438742754e+00  
  5.000001648201e-04  ,-1.000000000000e+00  ,-4.071260092301e+00  
  5.000003267072e-04  ,-1.000000000000e+00  ,-4.074362363315e+00  
  5.000006504815e-04  ,-1.000000000000e+00  ,-4.078892028994e+00  
  5.000012980301e-04  ,-1.000000000000e+00  ,-4.083807450733e+00  
  5.000025931273e-04  ,-1.000000000000e+00  ,-4.086747186897e+00  
  5.000051833216e-04  ,-1.000000000000e+00  ,-4.087005060042e+00  
  5.000103637103e-04  ,-1.000000000000e+00  ,-4.086907144968e+00  
  5.000207244877e-04  ,-1.000000000000e+00  ,-4.086907692483e+00  
  5.000414460425e-04  ,-1.000000000000e+00  ,-4.086887800557e+00  
  5.000828891520e-04  ,-1.000000000000e+00  ,-4.086789839339e+00  
  5.001657753710e-04  ,-1.000000000000e+00  ,-4.086639414828e+00  
  5.003315478090e-04  ,-1.000000000000e+00  ,-4.086325971959e+00  
  5.006630926851e-04  ,-1.000000000000e+00  ,-4.085712986660e+00  
  5.013261824373e-04  ,-1.000000000000e+00  ,-4.084522375901e+00  
  5.026523619417e-04  ,-1.000000000000e+00  ,-4.082139430152e+00  
  5.047588377718e-04  ,-1.000000000000e+00  ,-4.078149445698e+00  
  5.070804625277e-04  ,-1.000000000000e+00  ,-4.072013540691e+00  
  5.082132368807e-04  ,-1.000000000000e+00  ,-4.003925674791e+00  
  5.092046767000e-04  ,-1.000000000000e+00  ,-3.808043058406e+00  
  5.094252615694e-04  ,-1.000000000000e+00  ,-3.815088315859e+00  
  5.096202402834e-04  ,-1.000000000000e+00  ,-3.802874093729e+00  
  5.098171501879e-04  ,-1.000000000000e+00  ,-3.781502529308e+00  
  5.100087433581e-04  ,-1.000000000000e+00  ,-3.760399837629e+00  
  5.101512938265e-04  ,-1.000000000000e+00  ,-3.746925061595e+00  
  5.103072672610e-04  ,-1.000000000000e+00  ,-3.732168137884e+00  
  5.105122357134e-04  ,-1.000000000000e+00  ,-3.711575989578e+00  
  5.107450514559e-04  ,-1.000000000000e+00  ,-3.688113984447e+00  
  5.111416369204e-04  ,-1.000000000000e+00  ,-3.648809108733e+00  
  5.115564375643e-04  ,-1.000000000000e+00  ,-3.607628564386e+00  
  5.121072798495e-04  ,-1.000000000000e+00  ,-3.552805723804e+00  
  5.132089644198e-04  ,-1.000000000000e+00  ,-3.443255952954e+00  
  5.147447615389e-04  ,-1.000000000000e+00  ,-3.290538529421e+00  
  5.178163557772e-04  ,-1.000000000000e+00  ,-2.985095179850e+00  
  5.239595442538e-04  ,-1.000000000000e+00  ,-2.374214213402e+00  
  5.362459212069e-04  ,-1.000000000000e+00  ,-1.152459073053e+00  
  5.608186751131e-04  ,-1.000000000000e+00  ,1.291023154600e+00  
  5.871583967928e-04  ,-1.000000000000e+00  ,3.910168852228e+00  
  6.091920881991e-04  ,-1.000000000000e+00  ,4.065337029223e+00  
  6.230516463045e-04  ,-1.000000000000e+00  ,4.067272380303e+00  
  6.335588484530e-04  ,-1.000000000000e+00  ,4.067522707811e+00  
  6.535661726717e-04  ,-1.000000000000e+00  ,4.067325644203e+00  
  6.886125593905e-04  ,-1.000000000000e+00  ,4.067291421567e+00  
  7.587053328280e-04  ,-1.000000000000e+00  ,4.067317836155e+00  
  8.787004500155e-04  ,-1.000000000000e+00  ,4.067341410067e+00  
  9.986955672030e-04  ,-1.000000000000e+00  ,4.067333616232e+00  
  1.118690684390e-03  ,-1.000000000000e+00  ,4.067331552039e+00  
  1.238685801578e-03  ,-1.000000000000e+00  ,4.067331672666e+00  
  1.358680918765e-03  ,-1.000000000000e+00  ,4.067331632898e+00  
  1.478676035953e-03  ,-1.000000000000e+00  ,4.067331615427e+00  
  1.598671153140e-03  ,-1.000000000000e+00  ,4.067331627853e+00  
  1.718666270328e-03  ,-1.000000000000e+00  ,4.067331623733e+00  
  1.838661387515e-03  ,-1.000000000000e+00  ,4.067331621932e+00  
  1.958656504703e-03  ,-1.000000000000e+00  ,4.067331623215e+00  
  2.000000001012e-03  ,-9.760001007099e-01  ,4.067409612614e+00  
  2.000000001111e-03  ,-7.784003516466e-01  ,4.067409884927e+00  
  2.000000001308e-03  ,-3.831791694765e-01  ,4.067410953353e+00  
  2.000000001704e-03  ,4.072623275019e-01  ,4.067416231400e+00  
  2.000000002012e-03  ,1.000000000000e+00  ,4.067423206751e+00  
  2.000000002091e-03  ,1.000000000000e+00  ,4.067425300348e+00  
  2.000000002249e-03  ,1.000000000000e+00  ,4.067429487182e+00  
  2.000000002565e-03  ,1.000000000000e+00  ,4.067437859513e+00  
  2.000000003198e-03  ,1.000000000000e+00  ,4.067454596275e+00  
  2.000000004462e-03  ,1.000000000000e+00  ,4.067488015635e+00  
  2.000000006992e-03  ,1.000000000000e+00  ,4.067554682632e+00  
  2.000000012051e-03  ,1.000000000000e+00  ,4.067687332662e+00  
  2.000000022169e-03  ,1.000000000000e+00  ,4.067949920302e+00  
  2.000000042405e-03  ,1.000000000000e+00  ,4.068464429791e+00  
  2.000000082877e-03  ,1.000000000000e+00  ,4.069452212302e+00  
  2.000000163820e-03  ,1.000000000000e+00  ,4.071273578007e+00  
  2.000000325707e-03  ,1.000000000000e+00  ,4.074375876415e+00  
  2.000000649482e-03  ,1.000000000000e+00  ,4.078905581656e+00  
  2.000001297030e-03  ,1.000000000000e+00  ,4.083821045859e+00  
  2.000002592127e-03  ,1.000000000000e+00  ,4.086760804450e+00  
  2.000005182322e-03  ,1.000000000000e+00  ,4.087018673603e+00  
  2.000010362710e-03  ,1.000000000000e+00  ,4.086920744242e+00  
  2.000020723488e-03  ,1.000000000000e+00  ,4.086921265151e+00  
  2.000041445042e-03  ,1.000000000000e+00  ,4.086901323407e+00  
  2.000082888152e-03  ,1.000000000000e+00  ,4.086803263883e+00  
  2.000165774371e-03  ,1.000000000000e+00  ,4.086652658748e+00  
  2.000331546809e-03  ,1.000000000000e+00  ,4.086338899780e+00  
  2.000663091685e-03  ,1.000000000000e+00  ,4.085725504037e+00  
  2.001326181437e-03  ,1.000000000000e+00  ,4.084535611545e+00  
  2.002652360942e-03  ,1.000000000000e+00  ,4.082156885298e+00  
  2.004750825908e-03  ,1.000000000000e+00  ,4.078189031058e+00  
  2.007068254496e-03  ,1.000000000000e+00  ,4.072116756327e+00  
  2.008224107768e-03  ,1.000000000000e+00  ,4.005000133672e+00  
  2.009196664836e-03  ,1.000000000000e+00  ,3.810556248690e+00  
  2.009415556933e-03  ,1.000000000000e+00  ,3.817300277055e+00  
  2.009608437564e-03  ,1.000000000000e+00  ,3.805316895818e+00  
  2.009803320910e-03  ,1.000000000000e+00  ,3.784206624453e+00  
  2.009989025142e-03  ,1.000000000000e+00  ,3.763667581463e+00  
  2.010127069499e-03  ,1.000000000000e+00  ,3.750600856288e+00  
  2.010281612422e-03  ,1.000000000000e+00  ,3.736010880490e+00  
  2.010481931712e-03  ,1.000000000000e+00  ,3.715898565618e+00  
  2.010710885074e-03  ,1.000000000000e+00  ,3.692804611867e+00  
  2.011098267581e-03  ,1.000000000000e+00  ,3.654408780440e+00  
  2.011504151370e-03  ,1.000000000000e+00  ,3.614124106903e+00  
  2.012067963626e-03  ,1.000000000000e+00  ,3.558006774023e+00  
  2.013195588137e-03  ,1.000000000000e+00  ,3.445874314088e+00  
  2.014732148196e-03  ,1.000000000000e+00  ,3.293074209597e+00  
  2.017805268313e-03  ,1.000000000000e+00  ,2.987468416147e+00  
  2.023951508548e-03  ,1.000000000000e+00  ,2.376265038819e+00  
  2.036243989016e-03  ,1.000000000000e+00  ,1.153863082921e+00  
  2.060828949954e-03  ,1.000000000000e+00  ,-1.290912593510e+00  
  2.087183930423e-03  ,1.000000000000e+00  ,-3.911660846822e+00  
  2.109223725345e-03  ,1.000000000000e+00  ,-4.065353997656e+00  
  2.123098542239e-03  ,1.000000000000e+00  ,-4.067288736262e+00  
  2.133633210208e-03  ,1.000000000000e+00  ,-4.067538041558e+00  
  2.153683259036e-03  ,1.000000000000e+00  ,-4.067338553612e+00  
  2.188699128177e-03  ,1.000000000000e+00  ,-4.067304017142e+00  
  2.258730866458e-03  ,1.000000000000e+00  ,-4.067330751323e+00  
  2.378725983645e-03  ,1.000000000000e+00  ,-4.067354574892e+00  
  2.498721100833e-03  ,1.000000000000e+00  ,-4.067346697182e+00  
  2.500000002012e-03  ,9.760001006140e-01  ,-4.067557478391e+00  
  2.500000002111e-03  ,7.784003507611e-01  ,-4.067557750800e+00  
  2.500000002308e-03  ,3.831791670118e-01  ,-4.067558923969e+00  
