Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,24.71472617381596,649.2441437898966,589.7738653555241,271.4493433204067
125.8925411794169,21.27912604680298,678.3866987454531,632.1366714744249,246.1945198658759
158.4893192461114,18.27525289805013,701.7429221469413,666.3477166514074,220.0541962717
199.5262314968881,15.65156745826133,720.2147775234019,693.5093165589302,194.3042809848742
251.1886431509582,13.37922534124369,734.7655065049197,714.8238551925961,170.0211916115919
316.2277660168383,11.47149242547089,746.3376770993926,731.4286707551242,148.4318963548917
398.1071705534974,9.907583293486201,755.6905177696215,744.4205741754362,130.0237185717766
501.187233627273,8.641317644491647,763.4864191062014,754.8195424610738,114.7125558884708
630.9573444801937,7.607342073451222,770.1173374743248,763.3392146769282,101.9507568140308
794.3282347242822,6.797976198083954,775.7201120308579,770.2665589783511,91.82113225623547
1000,6.187405721247852,780.7922410759751,776.2438760038956,84.1544335783463
1258.925411794168,5.746068199130482,785.8756434780685,781.9269257260287,78.68169950318735
1584.893192461115,5.449582039020554,790.4731013204512,786.9002841194545,75.07107807867339
1995.262314968881,5.30131771426062,794.8760935221363,791.4760694878282,73.44137445003686
2511.886431509583,5.268362862501794,798.9090954529185,795.5341446105502,73.35644181774751
3162.277660168382,5.383782110690607,802.7760650535226,799.2346686980824,75.32167665343192
3981.071705534974,5.66993103080883,806.9549821284324,803.0070002174172,79.72515778425154
5011.872336272725,6.151360924593005,811.0945946401233,806.4245453106815,86.91314155457934
6309.573444801934,6.875668793014587,816.0406804755006,810.1719359744156,97.69250918256455
7943.282347242819,7.869217505021687,821.8770050865063,814.1375234388321,112.5251279441632
10000,9.20151856290973,830.2205274856103,819.5372723594772,132.7583649796617
12589.25411794167,10.91000390486206,841.5957025550329,826.3844337457225,159.2862022331533
15848.93192461114,13.06334968876105,858.6895542022024,836.4673123252932,194.0880880097426
19952.62314968881,15.66810245922691,884.8399553886711,851.9612892284547,238.9638221748533
25118.86431509582,18.73441383499321,925.401044198555,876.371016320587,297.2220287209503
31622.77660168381,22.14529620253739,988.9743308305668,916.0185949541046,372.8004301768916
39810.71705534974,25.66567036256617,1089.940303674865,982.4031888791977,472.0739773116507
50118.72336272725,28.59128041664039,1253.423283537834,1100.575603006239,599.8360357482858
63095.73444801934,29.8566250441406,1530.379854682913,1327.258464573913,761.8710309732188
79432.82347242816,27.02623652027077,2020.720173325085,1800.054584849999,918.2121271489834
100000,13.72513300745369,2891.024147336411,2808.471347703563,685.9368116746302
