Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,63.93784444623599,1307.236567936971,574.3290494174569,1174.314092373447
125.8925411794169,61.73368045382247,1547.396344394061,732.8013408631946,1362.878439727185
158.4893192461114,59.19164206337212,1815.100287594726,929.6365725521383,1558.962763185821
199.5262314968881,56.25989832936945,2109.593672517836,1171.724401539424,1754.265484459057
251.1886431509582,53.00385517519825,2427.67528945303,1460.88100222907,1938.925993519877
316.2277660168383,49.52169293556745,2762.004480165604,1792.983110318938,2100.923681280663
398.1071705534974,45.88512610195268,3104.979306188856,2161.373603745572,2229.206279574169
501.187233627273,42.20534366933821,3449.676068686716,2555.319761762532,2317.456772847277
630.9573444801937,38.55973909347799,3789.264352779318,2963.048115506404,2361.96320895098
794.3282347242822,35.06403082271326,4118.897105155851,3371.360666181899,2366.271459782837
1000,31.74768662057584,4435.130587753658,3771.517391190812,2333.675191275204
1258.925411794168,28.58717220776932,4740.738597932111,4162.795754720934,2268.421027587402
1584.893192461115,25.63639313297158,5034.875899748094,4539.232104047145,2178.381791939124
1995.262314968881,22.76975524251786,5320.822392030073,4906.157833155396,2059.312080209451
2511.886431509583,19.94515399577765,5599.612771959417,5263.745683680097,1910.142553169836
3162.277660168382,17.08326246649515,5874.047353290535,5614.877749708249,1725.566621295963
3981.071705534974,14.0233699404848,6144.912891580148,5961.775867590265,1489.020802314805
5011.872336272725,10.67385282220905,6403.872778155301,6293.069282638524,1186.113638194057
6309.573444801934,6.810451709300061,6650.837831961002,6603.908806716078,788.6902684967932
7943.282347242819,2.351070701992541,6863.645378733384,6857.867744870644,281.5632768508186
10000,-2.872151485499949,7028.964249396923,7020.134674138805,-352.203884496048
12589.25411794167,-9.036769244875527,7099.230567689064,7011.113116662546,-1115.063907842589
15848.93192461114,-16.16379203377556,7042.911086407412,6764.503415601941,-1960.635129581766
19952.62314968881,-24.19957524556003,6807.426471758254,6209.211311229569,-2790.47488089282
25118.86431509582,-32.80185469475791,6358.819364332485,5344.899688192865,-3444.797676405046
31622.77660168381,-41.46044120570361,5725.52089281747,4290.779993831652,-3790.883345425364
39810.71705534974,-49.58110185779053,4977.082591327042,3226.996253940599,-3789.174883525969
50118.72336272725,-56.73092955207642,4202.972430903073,2305.631102663413,-3514.120440930046
63095.73444801934,-62.722035089691,3463.915680327666,1587.539477275022,-3078.705937323867
79432.82347242816,-67.50750826636737,2815.282408700254,1077.021083010547,-2601.122955088415
100000,-71.07507837819165,2265.477894111798,734.7599555281109,-2143.01607470909
