  Time                 , V(R5:1)              , V(V1:+)              
  0.000000000000e+00  ,-1.623169393696e-05  ,0.000000000000e+00  
  1.250000000000e-07  ,-1.195649916832e-03  ,7.853900888711e-04  
  1.337052583694e-07  ,-1.283473707359e-03  ,8.400850331654e-04  
  1.511157751083e-07  ,-1.472600752438e-03  ,9.494741513975e-04  
  1.859368085861e-07  ,-1.932418093505e-03  ,1.168248848268e-03  
  2.555788755417e-07  ,-3.206862996540e-03  ,1.605780418384e-03  
  3.948630094528e-07  ,-7.216738948753e-03  ,2.480742943781e-03  
  6.734312772751e-07  ,-2.053043539127e-02  ,4.230031012760e-03  
  1.072162508965e-06  ,-4.831187183673e-02  ,6.731501574046e-03  
  1.828330874443e-06  ,-1.020184068643e-01  ,1.146249140895e-02  
  2.645057559013e-06  ,-1.233359000042e-01  ,1.654298668792e-02  
  3.316062808037e-06  ,-1.007293567983e-01  ,2.068501424004e-02  
  3.987640261650e-06  ,-5.372637734086e-02  ,2.479376248400e-02  
  4.568618655205e-06  ,-1.890075450606e-02  ,2.831287461833e-02  
  5.115455508232e-06  ,-3.918597812020e-03  ,3.159080365686e-02  
  5.691188693047e-06  ,-1.220560753490e-02  ,3.500157636867e-02  
  6.384033083916e-06  ,-5.140463882885e-02  ,3.904502649909e-02  
  7.076877474785e-06  ,-9.502330709305e-02  ,4.301449425222e-02  
  7.820552706718e-06  ,-1.103283421122e-01  ,4.718428990702e-02  
  8.681434512138e-06  ,-8.208938732610e-02  ,5.188204711349e-02  
  9.460777163506e-06  ,-3.040593625103e-02  ,5.600433796697e-02  
  1.000828158855e-05  ,-5.144041017951e-03  ,5.882061427138e-02  
  1.052832019329e-05  ,1.550356657733e-03  ,6.143120924946e-02  
  1.101726901531e-05  ,-9.576957368286e-03  ,6.382596553087e-02  
  1.162962329388e-05  ,-3.987777323071e-02  ,6.673991231167e-02  
  1.231407535076e-05  ,-7.842193071256e-02  ,6.987983060558e-02  
  1.307329547405e-05  ,-9.250732268865e-02  ,7.321134243070e-02  
  1.376137149334e-05  ,-7.590987987158e-02  ,7.608697969015e-02  
  1.447634112835e-05  ,-3.680321977406e-02  ,7.892430344990e-02  
  1.507057559490e-05  ,-6.825301144136e-03  ,8.116155038707e-02  
  1.563915622234e-05  ,8.044275452524e-03  ,8.319634417662e-02  
  1.617416751385e-05  ,5.364231693050e-03  ,8.501409487084e-02  
  1.679911029339e-05  ,-1.859452536031e-02  ,8.701562089079e-02  
  1.748098742962e-05  ,-5.205739884297e-02  ,8.904635537647e-02  
  1.835913074017e-05  ,-6.941688737312e-02  ,9.142035362366e-02  
  1.909698855877e-05  ,-5.119991496918e-02  ,9.320025480455e-02  
  1.977238070965e-05  ,-1.609285096039e-02  ,9.465399228800e-02  
  2.030596148968e-05  ,8.841915898404e-03  ,9.568209982783e-02  
  2.083544147015e-05  ,2.395774164306e-02  ,9.659601005053e-02  
  2.137464892864e-05  ,2.162995535290e-02  ,9.741684059037e-02  
  2.191471469402e-05  ,3.675910202463e-03  ,9.812690445516e-02  
  2.252821338177e-05  ,-2.208553749716e-02  ,9.879640997926e-02  
  2.312101733685e-05  ,-4.242594686279e-02  ,9.930390135270e-02  
  2.370371234417e-05  ,-4.411510059050e-02  ,9.966849322137e-02  
  2.434801471233e-05  ,-2.484956589706e-02  ,9.991610335442e-02  
  2.496408832073e-05  ,3.849364837433e-03  ,9.999974543366e-02  
  2.575363528728e-05  ,3.654283197690e-02  ,9.988790892341e-02  
  2.653650653362e-05  ,4.011496350231e-02  ,9.953434826481e-02  
  2.728628528118e-05  ,1.573211010080e-02  ,9.896998483198e-02  
