  Time                 , V(R5:1)              , V(V1:+)              
  0.000000000000e+00  ,-1.623169393696e-05  ,0.000000000000e+00  
  1.200000000000e-06  ,-4.324687826603e-03  ,7.539750930357e-04  
  1.338092041016e-06  ,-4.863028497174e-03  ,8.407381203975e-04  
  1.614276123047e-06  ,-6.004692176083e-03  ,1.014262211005e-03  
  2.166644287109e-06  ,-8.184049706874e-03  ,1.361300706887e-03  
  3.271380615234e-06  ,-9.413082774305e-03  ,2.055324326969e-03  
  4.367152404785e-06  ,-6.311233272709e-03  ,2.743618458591e-03  
  5.224887084961e-06  ,-4.002303303065e-03  ,3.282303724520e-03  
  6.210414123535e-06  ,-3.706671509510e-03  ,3.901128090813e-03  
  7.238093566895e-06  ,-6.032577970735e-03  ,4.546260784572e-03  
  8.331004333496e-06  ,-8.275574887442e-03  ,5.232134275454e-03  
  9.714785766602e-06  ,-7.915725575829e-03  ,6.100190199039e-03  
  1.137932891846e-05  ,-4.285041480616e-03  ,7.143753086264e-03  
  1.243504638672e-05  ,-4.295779767243e-03  ,7.805223170067e-03  
  1.360711212158e-05  ,-6.415577877028e-03  ,8.539188854768e-03  
  1.481694335937e-05  ,-7.966125056156e-03  ,9.296317706197e-03  
  1.639126892090e-05  ,-6.958754583297e-03  ,1.028074117429e-02  
  1.818665618896e-05  ,-5.115065043287e-03  ,1.140216097905e-02  
  2.005204315186e-05  ,-5.586102273812e-03  ,1.256576451577e-02  
  2.200440521240e-05  ,-7.673538509524e-03  ,1.378177053817e-02  
  2.382363433838e-05  ,-6.798670225074e-03  ,1.491299344093e-02  
  2.589844818115e-05  ,-5.168681795867e-03  ,1.620075585190e-02  
  2.814911956787e-05  ,-5.858938003900e-03  ,1.759454655115e-02  
  3.048066253662e-05  ,-6.929421450990e-03  ,1.903470531877e-02  
  3.366479034424e-05  ,-5.719493607172e-03  ,2.099483343501e-02  
  3.544777984619e-05  ,-5.693237855536e-03  ,2.208881003490e-02  
  3.761414642334e-05  ,-6.185934636341e-03  ,2.341426905067e-02  
  4.124383087158e-05  ,-6.251491703719e-03  ,2.562519058028e-02  
  4.504822845459e-05  ,-5.880553596800e-03  ,2.792820894051e-02  
  5.265702362061e-05  ,-6.097818184139e-03  ,3.248506762590e-02  
  5.956620330811e-05  ,-5.900703275943e-03  ,3.655889663837e-02  
  6.650361175537e-05  ,-5.750772262686e-03  ,4.058004986032e-02  
  8.037842864990e-05  ,-5.531709193994e-03  ,4.838359374175e-02  
  1.081280624390e-04  ,-4.917037927422e-03  ,6.283175399586e-02  
  1.572918807983e-04  ,-3.530003978100e-03  ,8.350887164606e-02  
  2.556195175171e-04  ,1.514388858398e-04  ,9.993767207337e-02  
  3.756146347046e-04  ,4.728916440119e-03  ,7.043707650463e-02  
  4.956097518921e-04  ,6.517397950495e-03  ,2.758124425169e-03  
  6.156048690796e-04  ,4.981242760909e-03  ,-6.641578830329e-02  
  7.355999862671e-04  ,5.200635311680e-04  ,-9.959096613797e-02  
  8.555951034546e-04  ,-4.016081886739e-03  ,-7.878577455437e-02  
  9.755902206421e-04  ,-6.599235244511e-03  ,-1.527705894374e-02  
  1.095585337830e-03  ,-5.400096233173e-03  ,5.651213949970e-02  
  1.215580455017e-03  ,-1.495983090564e-03  ,9.767058612792e-02  
  1.335575572205e-03  ,3.422268947054e-03  ,8.588954913691e-02  
  1.455570689392e-03  ,6.265941167785e-03  ,2.755459494466e-02  
  1.575565806580e-03  ,5.914012836221e-03  ,-4.571552126041e-02  
  1.693815318298e-03  ,2.195943563630e-03  ,-9.383333057604e-02  
  1.813810435486e-03  ,-2.518324814076e-03  ,-9.206973475447e-02  
  1.933805552673e-03  ,-6.122022669597e-03  ,-4.040243293408e-02  
  2.053800669861e-03  ,-6.172656227233e-03  ,3.316382558643e-02  
  2.171952525330e-03  ,-3.181019208357e-03  ,8.821507798960e-02  
  2.291947642517e-03  ,1.284522137508e-03  ,9.654673960851e-02  
  2.411942759705e-03  ,6.012002388237e-03  ,5.254806573316e-02  
  2.531937876892e-03  ,6.036731218564e-03  ,-1.993274975091e-02  
  2.651932994080e-03  ,4.211973441098e-03  ,-8.160960141375e-02  
  2.765165415955e-03  ,-1.552344927048e-04  ,-9.954636164557e-02  
  2.885160533142e-03  ,-5.056018105727e-03  ,-6.605549224034e-02  
  3.005155650330e-03  ,-6.525075674821e-03  ,3.238824119089e-03  
