  Time                 , V(U8:IN7)            , V(V6:+)              
  2.815478643471e-04  ,4.999999940047e+00  ,4.951046110521e+00  
  2.915484746986e-04  ,4.999999940047e+00  ,4.915294411625e+00  
  3.015490850502e-04  ,4.999999940047e+00  ,4.870009485894e+00  
  3.115496954018e-04  ,4.999999940047e+00  ,4.815370074051e+00  
  3.215503057533e-04  ,4.999999940047e+00  ,4.751591839209e+00  
  3.315509161049e-04  ,4.999999940047e+00  ,4.678926515638e+00  
  3.415515264565e-04  ,4.999999940047e+00  ,4.597660915170e+00  
  3.515521368080e-04  ,4.999999940047e+00  ,4.508115795141e+00  
  3.615527471596e-04  ,4.999999940047e+00  ,4.410644592357e+00  
  3.715533575111e-04  ,4.999999940047e+00  ,4.305632028068e+00  
  3.815539678627e-04  ,4.999999940047e+00  ,4.193492589466e+00  
  3.915545782143e-04  ,4.999999940047e+00  ,4.074668893689e+00  
  4.015551885658e-04  ,4.999999940047e+00  ,3.949629940808e+00  
  4.115557989174e-04  ,4.999999940047e+00  ,3.818869262664e+00  
  4.215564092690e-04  ,4.999999940047e+00  ,3.682902974892e+00  
  4.315570196205e-04  ,4.999999940047e+00  ,3.542267739794e+00  
  4.415576299721e-04  ,4.999999940047e+00  ,3.397518648126e+00  
  4.428077062660e-04  ,4.999999940052e+00  ,3.379164049278e+00  
  4.431202253395e-04  ,4.999999940069e+00  ,3.374566880635e+00  
  4.431983551079e-04  ,4.999999940135e+00  ,3.373417060884e+00  
  4.433546146446e-04  ,4.999999940092e+00  ,3.371116790215e+00  
  4.434561571175e-04  ,4.999999940094e+00  ,3.369621550079e+00  
  4.435594042831e-04  ,4.999999940114e+00  ,3.368100844937e+00  
  4.435878744417e-04  ,4.999999940194e+00  ,3.367681449852e+00  
  4.436293711954e-04  ,4.999999940215e+00  ,3.367070109730e+00  
  4.436750000000e-04  ,4.999999940198e+00  ,3.366397827205e+00  
  4.436751000000e-04  ,4.999999950048e+00  ,3.366396353754e+00  
  4.436752000000e-04  ,4.999999947807e+00  ,3.366394880302e+00  
  4.436831875000e-04  ,4.999999934303e+00  ,3.366277187247e+00  
  4.436991615448e-04  ,4.999999939371e+00  ,3.366041808666e+00  
  4.437031550560e-04  ,4.999999939197e+00  ,3.365982962657e+00  
  4.437111420784e-04  ,4.999999939065e+00  ,3.365865269005e+00  
  4.437271161232e-04  ,4.999999939501e+00  ,3.365629875158e+00  
  4.437282891078e-04  ,4.999999932792e+00  ,3.365612589689e+00  
  4.437306349231e-04  ,4.999999944332e+00  ,3.365578020879e+00  
  4.437353265537e-04  ,4.999999941355e+00  ,3.365508882695e+00  
  4.437402000000e-04  ,4.999999940086e+00  ,3.365437064389e+00  
  4.437441000000e-04  ,4.999999940052e+00  ,3.365379590842e+00  
  4.437481000000e-04  ,4.999999940134e+00  ,3.365320643075e+00  
  4.437483000000e-04  ,4.999999940496e+00  ,3.365317695672e+00  
  4.437484000000e-04  ,4.999999940858e+00  ,3.365316221970e+00  
  4.437553320202e-04  ,4.999999941145e+00  ,3.365214063827e+00  
  4.437564237165e-04  ,4.999999940481e+00  ,3.365197975197e+00  
  4.437586071092e-04  ,4.999999940173e+00  ,3.365165797815e+00  
  4.437629738944e-04  ,4.999999940212e+00  ,3.365101442563e+00  
  4.437717074650e-04  ,4.999999940083e+00  ,3.364972730105e+00  
  4.437825000000e-04  ,4.999999940154e+00  ,3.364813669717e+00  
  4.437826000000e-04  ,4.999999941401e+00  ,3.364812195899e+00  
  4.437939472342e-04  ,4.999999939466e+00  ,3.364644956025e+00  
  4.438053645040e-04  ,4.999999940000e+00  ,3.364476679506e+00  
  4.438171423818e-04  ,4.999999940051e+00  ,3.364303083405e+00  
  4.438200868512e-04  ,4.999999940037e+00  ,3.364259683640e+00  
  4.438259757901e-04  ,4.999999940044e+00  ,3.364172883223e+00  
  4.438317358340e-04  ,4.999999940043e+00  ,3.364087981519e+00  
  4.438432559217e-04  ,4.999999940043e+00  ,3.363918174715e+00  
  4.438589498247e-04  ,4.999999940044e+00  ,3.363686838334e+00  
  4.438831761325e-04  ,4.999999940045e+00  ,3.363329713331e+00  
  4.439211204494e-04  ,4.999999940045e+00  ,3.362770328130e+00  
  4.439860418285e-04  ,4.999999940045e+00  ,3.361813126194e+00  
  4.440946176494e-04  ,4.999999940045e+00  ,3.360211962036e+00  
  4.442732408489e-04  ,4.999999940045e+00  ,3.357576940701e+00  
  4.445648744548e-04  ,4.999999940045e+00  ,3.353272487599e+00  
  4.450444772686e-04  ,4.999999940045e+00  ,3.346187423744e+00  
  4.455180719341e-04  ,4.999999940045e+00  ,3.339183576391e+00  
  4.464652612651e-04  ,4.999999940045e+00  ,3.325153651653e+00  
  4.483596399272e-04  ,4.999999940045e+00  ,3.297006622638e+00  
  4.512839868511e-04  ,4.999999940045e+00  ,3.253335867620e+00  
  4.555915430034e-04  ,4.999999940045e+00  ,3.188549980779e+00  
  4.601829126323e-04  ,4.999999940044e+00  ,3.118941389406e+00  
  4.691093042339e-04  ,4.999999940045e+00  ,2.982189075833e+00  
  4.791099145854e-04  ,4.999999940044e+00  ,2.827199292832e+00  
  4.891105249370e-04  ,4.999999940044e+00  ,2.670918046123e+00  
  4.991111352886e-04  ,4.999999940044e+00  ,2.513962181654e+00  
  5.091117456401e-04  ,4.999999940182e+00  ,2.356951208109e+00  
  5.103618219341e-04  ,4.999999941195e+00  ,2.337351841125e+00  
  5.128619745220e-04  ,4.999999944160e+00  ,2.298184418055e+00  
  5.134870126689e-04  ,4.999999946964e+00  ,2.288399966409e+00  
  5.147370889629e-04  ,4.999999958115e+00  ,2.268841004570e+00  
  5.150496080364e-04  ,4.999999969170e+00  ,2.263953445232e+00  
  5.156746461833e-04  ,4.999999993335e+00  ,2.254181075831e+00  
  5.158309057201e-04  ,5.000000038060e+00  ,2.251738569984e+00  
  5.161434247936e-04  ,5.000000176055e+00  ,2.246854278577e+00  
  5.162215545619e-04  ,5.000000953797e+00  ,2.245633357501e+00  
  5.162979200328e-04  ,4.590192413368e+00  ,2.244440066049e+00  
  5.163263007844e-04  ,4.317594898429e+00  ,2.243996601695e+00  
  5.163355320538e-04  ,4.225055300110e+00  ,2.243852359950e+00  
  5.163539945925e-04  ,4.034517458950e+00  ,2.243563879047e+00  
  5.163909196700e-04  ,3.627959559715e+00  ,2.242986927595e+00  
  5.164647698248e-04  ,2.713064032310e+00  ,2.241833066227e+00  
  5.165132000000e-04  ,2.039263852753e+00  ,2.241076405924e+00  
  5.165135000000e-04  ,2.034905017741e+00  ,2.241071718877e+00  
  5.165136000000e-04  ,2.033451711411e+00  ,2.241070156529e+00  
  5.165158000000e-04  ,2.001450745574e+00  ,2.241035784886e+00  
  5.165159000000e-04  ,1.999994682947e+00  ,2.241034222540e+00  
  5.165584696373e-04  ,1.358409668111e+00  ,2.240369146710e+00  
  5.165602984326e-04  ,1.330154538102e+00  ,2.240340575410e+00  
  5.165639559227e-04  ,1.273609233026e+00  ,2.240283434485e+00  
  5.165648702952e-04  ,1.259427755325e+00  ,2.240269149275e+00  
  5.165666990402e-04  ,1.230990326768e+00  ,2.240240578882e+00  
  5.165703565302e-04  ,1.182039541499e+00  ,2.240183438197e+00  
  5.165756000000e-04  ,1.137820113916e+00  ,2.240101520112e+00  
  5.165797000000e-04  ,1.117918609082e+00  ,2.240037466512e+00  
  5.165833000000e-04  ,1.108529885536e+00  ,2.239981224469e+00  
  5.165842000000e-04  ,1.106249389972e+00  ,2.239967163979e+00  
  5.165843000000e-04  ,1.105963022806e+00  ,2.239965601702e+00  
  5.165863000000e-04  ,1.100742957446e+00  ,2.239934356201e+00  
  5.165865000000e-04  ,1.100236858759e+00  ,2.239931231653e+00  
  5.165866000000e-04  ,1.099974241628e+00  ,2.239929669379e+00  
  5.165955392066e-04  ,1.073774348382e+00  ,2.239790014912e+00  
  5.166120705548e-04  ,9.030339793803e-01  ,2.239531752921e+00  
  5.166173000000e-04  ,8.331567009496e-01  ,2.239450056181e+00  
  5.166174000000e-04  ,8.317620879243e-01  ,2.239448493939e+00  
  5.166175000000e-04  ,8.303900596896e-01  ,2.239446931697e+00  
  5.166197000000e-04  ,8.010166828145e-01  ,2.239412562398e+00  
  5.166198000000e-04  ,7.997116015134e-01  ,2.239411000158e+00  
  5.166378900097e-04  ,5.560846467247e-01  ,2.239128392543e+00  
  5.166520654843e-04  ,3.612906876607e-01  ,2.238906941336e+00  
  5.166550628529e-04  ,3.237380532550e-01  ,2.238860116299e+00  
  5.166610575901e-04  ,2.672846320629e-01  ,2.238766466502e+00  
  5.166666932092e-04  ,2.389175754782e-01  ,2.238678427185e+00  
  5.166779644475e-04  ,2.100201888476e-01  ,2.238502349535e+00  
  5.166928015337e-04  ,1.909573336825e-01  ,2.238270568726e+00  
  5.167157552824e-04  ,1.754101167346e-01  ,2.237911996168e+00  
  5.167525909529e-04  ,1.612295816760e-01  ,2.237336578221e+00  
  5.167887650118e-04  ,1.524166173246e-01  ,2.236771509143e+00  
  5.168611131297e-04  ,1.409305726399e-01  ,2.235641411812e+00  
  5.170058093653e-04  ,1.276786517187e-01  ,2.233381381264e+00  
  5.172432504282e-04  ,1.156906919145e-01  ,2.229673234801e+00  
  5.176093183146e-04  ,1.053058386637e-01  ,2.223957489105e+00  
  5.182169042216e-04  ,9.568692277870e-02  ,2.214473944392e+00  
  5.188186727152e-04  ,9.004148978223e-02  ,2.205085302368e+00  
  5.200222097025e-04  ,8.386174698944e-02  ,2.186320800887e+00  
  5.224292836771e-04  ,7.946254845734e-02  ,2.148846682478e+00  
  5.260566793070e-04  ,7.839006155202e-02  ,2.092528650065e+00  
  5.296135030375e-04  ,7.823079069457e-02  ,2.037511633545e+00  
  5.360488973246e-04  ,7.828422807158e-02  ,1.938574612054e+00  
  5.444686971293e-04  ,7.826259132373e-02  ,1.810540415932e+00  
  5.544693074809e-04  ,7.825434215518e-02  ,1.661003167523e+00  
  5.644699178324e-04  ,7.825867861820e-02  ,1.514777460381e+00  
  5.744705281840e-04  ,7.825867858254e-02  ,1.372440450992e+00  
  5.844711385355e-04  ,7.825867839549e-02  ,1.234553947057e+00  
  5.857212148295e-04  ,7.825799852184e-02  ,1.217658372170e+00  
  5.882213674174e-04  ,7.825822682867e-02  ,1.184105591427e+00  
  5.888464055644e-04  ,7.825842568921e-02  ,1.175767811576e+00  
  5.900964818583e-04  ,7.825833178948e-02  ,1.159153651528e+00  
  5.925966344462e-04  ,7.825824595590e-02  ,1.126174510740e+00  
  5.932216725932e-04  ,7.825842567707e-02  ,1.117982380137e+00  
  5.932234000000e-04  ,7.825863987920e-02  ,1.117959769168e+00  
  5.932235000000e-04  ,7.825864143505e-02  ,1.117958460218e+00  
  5.932331375000e-04  ,7.825863671500e-02  ,1.117832312774e+00  
  5.932524136421e-04  ,7.825862945817e-02  ,1.117580018141e+00  
  5.932572326777e-04  ,7.825863924664e-02  ,1.117516947651e+00  
  5.932668707487e-04  ,7.825863569822e-02  ,1.117390810474e+00  
  5.932861468908e-04  ,7.825863153586e-02  ,1.117138551331e+00  
  5.932875410295e-04  ,7.825864091033e-02  ,1.117120307584e+00  
  5.932903294093e-04  ,7.825863998920e-02  ,1.117083819067e+00  
  5.932959061688e-04  ,7.825863828339e-02  ,1.117010843307e+00  
  5.933017000000e-04  ,7.825863776726e-02  ,1.116935028814e+00  
  5.933064000000e-04  ,7.825863930930e-02  ,1.116873528866e+00  
  5.933111000000e-04  ,7.825863931003e-02  ,1.116812030123e+00  
  5.933113000000e-04  ,7.825864143027e-02  ,1.116809413182e+00  
  5.933114000000e-04  ,7.825864145175e-02  ,1.116808104713e+00  
  5.933248557486e-04  ,7.825863465427e-02  ,1.116632045303e+00  
  5.933417298235e-04  ,7.825863283407e-02  ,1.116411273369e+00  
  5.933515000000e-04  ,7.825863422592e-02  ,1.116283452390e+00  
  5.933516000000e-04  ,7.825864142910e-02  ,1.116282144139e+00  
  5.933517000000e-04  ,7.825864145941e-02  ,1.116280835890e+00  
  5.933635896365e-04  ,7.825863549699e-02  ,1.116125293664e+00  
  5.933753809254e-04  ,7.825863557420e-02  ,1.115971045667e+00  
  5.933888158123e-04  ,7.825863247979e-02  ,1.115795306165e+00  
  5.934003344099e-04  ,7.825863343575e-02  ,1.115644641176e+00  
  5.934108948628e-04  ,7.825863623487e-02  ,1.115506515235e+00  
  5.934219306628e-04  ,7.825863405953e-02  ,1.115362178483e+00  
  5.934343284289e-04  ,7.825863319047e-02  ,1.115200036575e+00  
  5.934591239612e-04  ,7.825862856253e-02  ,1.114875777969e+00  
  5.935017710845e-04  ,7.825861908391e-02  ,1.114318147401e+00  
  5.935681229751e-04  ,7.825860694437e-02  ,1.113450764036e+00  
  5.936782723586e-04  ,7.825858588577e-02  ,1.112011371257e+00  
  5.938671952407e-04  ,7.825855203450e-02  ,1.109544142953e+00  
  5.940518504302e-04  ,7.825852985901e-02  ,1.107134541672e+00  
  5.944211608092e-04  ,7.825848967070e-02  ,1.102320967229e+00  
  5.951597815673e-04  ,7.825840345316e-02  ,1.092716421485e+00  
  5.962782508056e-04  ,7.825834683357e-02  ,1.078230338451e+00  
  5.981253272216e-04  ,7.825828121060e-02  ,1.054461614948e+00  
  6.011473303954e-04  ,7.825822605056e-02  ,1.015994892727e+00  
  6.041266089599e-04  ,7.825820047251e-02  ,9.785956734228e-01  
  6.098478919188e-04  ,7.825816107294e-02  ,9.082817467041e-01  
  6.172629004638e-04  ,7.825815696743e-02  ,8.202252279139e-01  
  6.272635108153e-04  ,7.825814219917e-02  ,7.072713879969e-01  
  6.372641211669e-04  ,7.825814215510e-02  ,6.013934922912e-01  
  6.472647315185e-04  ,7.825814212272e-02  ,5.030094434721e-01  
  6.572653418700e-04  ,7.825814207140e-02  ,4.125075658160e-01  
  6.672659522216e-04  ,7.825814204140e-02  ,3.302450724742e-01  
  6.772665625731e-04  ,7.825814199467e-02  ,2.565466555446e-01  
  6.872671729247e-04  ,7.825814196896e-02  ,1.917032045030e-01  
  6.972677832763e-04  ,7.825814195190e-02  ,1.359706580561e-01  
  7.072683936278e-04  ,7.825814193033e-02  ,8.956899394424e-02  
  7.172690039794e-04  ,7.825814191740e-02  ,5.268136068447e-02  
  7.272696143310e-04  ,7.825814190005e-02  ,2.545335467840e-02  
  7.372702246825e-04  ,7.825814189127e-02  ,7.992445539774e-03  
  7.472708350341e-04  ,7.825814187809e-02  ,3.675519092163e-04  
  7.572714453856e-04  ,7.825814187343e-02  ,2.608769430644e-03  
  7.672720557372e-04  ,7.825814187589e-02  ,1.470725196302e-02  
  7.772726660888e-04  ,7.825814188038e-02  ,3.661524649628e-02  
  7.872732764403e-04  ,7.825814188691e-02  ,6.824628163366e-02  
  7.972738867919e-04  ,7.825814190767e-02  ,1.094755088964e-01  
  8.072744971435e-04  ,7.825814192835e-02  ,1.601401955040e-01  
  8.172751074950e-04  ,7.825814195329e-02  ,2.200403666840e-01  
  8.272757178466e-04  ,7.825814197809e-02  ,2.889395949780e-01  
  8.372763281981e-04  ,7.825814200719e-02  ,3.665659334263e-01  
  8.472769385497e-04  ,7.825814205597e-02  ,4.526129889493e-01  
  8.572775489013e-04  ,7.825814208921e-02  ,5.467411316888e-01  
  8.672781592528e-04  ,7.825814214248e-02  ,6.485788355352e-01  
  8.772787696044e-04  ,7.825814217974e-02  ,7.577241445504e-01  
  8.872793799560e-04  ,7.825814223732e-02  ,8.737462594978e-01  
  8.972799903075e-04  ,7.825814227840e-02  ,9.961872382175e-01  
  9.060156470458e-04  ,7.825813522900e-02  ,1.108015112043e+00  
  9.072657233397e-04  ,7.825833177826e-02  ,1.124368664383e+00  
  9.075782424132e-04  ,7.825850739022e-02  ,1.128470352271e+00  
  9.076563721816e-04  ,7.825860110736e-02  ,1.129496601161e+00  
  9.078126317183e-04  ,7.825856549379e-02  ,1.131550089514e+00  
  9.078381842296e-04  ,7.825862814731e-02  ,1.131886013981e+00  
  9.078700000000e-04  ,7.825862481207e-02  ,1.132304327278e+00  
  9.078734000000e-04  ,7.825863853549e-02  ,1.132349033662e+00  
  9.078735000000e-04  ,7.825864143227e-02  ,1.132350348565e+00  
  9.078902816877e-04  ,7.825863288798e-02  ,1.132571019146e+00  
