#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E729
#Date Time: 2023-10-12 17:29:38.118
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.89286 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: -7.42 V Attenuation: 1 X
#Math 1: Function: C1 / 100

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.025096875,1.447749960546978,9.441661545872098,0.01447749960546978
-0.025090625,1.447749960546977,9.441661545872099,0.01447749960546977
-0.025084375,1.444120625457968,9.445322399393852,0.01444120625457968
-0.025078125,1.447749960546978,9.441661545872098,0.01447749960546978
-0.025071875,1.447749960546978,9.441661545872098,0.01447749960546978
-0.025065625,1.444120625457968,9.441661545872098,0.01444120625457968
-0.025059375,1.444120625457968,9.2366537486539,0.01444120625457968
-0.025053125,1.444120625457968,9.21468862752339,0.01444120625457968
-0.025046875,1.444120625457968,9.218349481045143,0.01444120625457968
-0.025040625,1.440491290368958,9.108523875392542,0.01440491290368958
-0.025034375,1.444120625457968,8.998698269739943,0.01444120625457968
-0.025028125,1.444120625457967,8.998698269739942,0.01444120625457966
-0.025021875,1.440491290368958,8.995037416218189,0.01440491290368958
-0.025015625,1.440491290368958,8.998698269739943,0.01440491290368958
-0.025009375,1.444120625457968,8.921820345783122,0.01444120625457968
-0.025003125,1.436861955279948,8.775386204912989,0.01436861955279948
-0.024996875,1.440491290368956,8.775386204912991,0.01440491290368956
-0.024990625,1.436861955279948,8.779047058434742,0.01436861955279948
-0.024984375,1.440491290368958,8.775386204912989,0.01440491290368958
-0.024978125,1.436861955279948,8.727795109130195,0.01436861955279948
-0.024971875,1.436861955279948,8.552074140086035,0.01436861955279948
-0.024965625,1.436861955279948,8.555734993607787,0.01436861955279948
-0.024959375,1.436861955279948,8.555734993607787,0.01436861955279948
-0.024953125,1.436861955279948,8.555734993607787,0.01436861955279948
-0.024946875,1.433232620190938,8.537430725999021,0.01433232620190938
-0.024940625,1.436861955279948,8.332422928780833,0.01436861955279948
-0.024934375,1.433232620190938,8.332422928780835,0.01433232620190938
-0.024928125,1.433232620190938,8.336083782302588,0.01433232620190938
-0.024921875,1.433232620190938,8.189649641432453,0.01433232620190938
-0.024915625,1.429603285101927,8.109110863953878,0.01429603285101927
-0.024909375,1.433232620190938,8.109110863953878,0.01433232620190938
-0.024903125,1.433232620190936,8.116432570997384,0.01433232620190936
-0.024896875,1.429603285101927,8.112771717475633,0.01429603285101927
-0.024890625,1.429603285101927,8.112771717475633,0.01429603285101927
-0.024884375,1.429603285101927,8.116432570997386,0.01429603285101927
-0.024878125,1.425973950012917,7.937050748431472,0.01425973950012917
-0.024871875,1.433232620190934,7.893120506170451,0.01433232620190934
-0.024865625,1.425973950012917,7.893120506170431,0.01425973950012917
-0.024859375,1.429603285101927,7.893120506170431,0.01429603285101927
-0.024853125,1.429603285101927,7.896781359692184,0.01429603285101927
-0.024846875,1.425973950012917,7.746686365300297,0.01425973950012917
-0.024840625,1.425973950012917,7.673469294865264,0.01425973950012917
-0.024834375,1.425973950012917,7.673469294865231,0.01425973950012917
-0.024828125,1.422344614923907,7.614895638517177,0.01422344614923907
-0.024821875,1.425973950012917,7.450157230038276,0.01425973950012917
-0.024815625,1.418715279834897,7.450157230038276,0.01418715279834897
-0.024809375,1.422344614923906,7.453818083560027,0.01422344614923905
-0.024803125,1.422344614923907,7.450157230038276,0.01422344614923907
-0.024796875,1.422344614923907,7.450157230038276,0.01422344614923907
-0.024790625,1.425973950012917,7.453818083560029,0.01425973950012917
-0.024784375,1.418715279834897,7.365957599037949,0.01418715279834897
-0.024778125,1.418715279834897,7.234166872254888,0.01418715279834897
-0.024771875,1.418715279834897,7.234166872254828,0.01418715279834897
-0.024765625,1.415085944745887,7.230506018733075,0.01415085944745887
-0.024759375,1.418715279834897,7.018176514471381,0.01418715279834897
-0.024753125,1.415085944745887,7.007193953906121,0.01415085944745887
-0.024746875,1.415085944745887,7.010854807427872,0.01415085944745887
-0.024740625,1.415085944745887,7.010854807427874,0.01415085944745887
-0.024734375,1.415085944745887,7.014515660949628,0.01415085944745887
-0.024728125,1.415085944745887,7.010854807427874,0.01415085944745887
-0.024721875,1.415085944745887,6.985228832775601,0.01415085944745887
-0.024715625,1.40782727456787,6.787542742601009,0.0140782727456787
-0.024709375,1.407827274567866,6.78754274260092,0.01407827274567866
-0.024703125,1.411456609656877,6.794864449644427,0.01411456609656877
-0.024696875,1.407827274567866,6.637447748209032,0.01407827274567866
-0.024690625,1.407827274567866,6.571552384817473,0.01407827274567866
-0.024684375,1.407827274567866,6.567891531295721,0.01407827274567866
-0.024678125,1.407827274567866,6.571552384817473,0.01407827274567866
-0.024671875,1.407827274567866,6.571552384817473,0.01407827274567866
-0.024665625,1.407827274567866,6.447083365077859,0.01407827274567866
-0.024659375,1.404197939478856,6.348240319990518,0.01404197939478856
-0.024653125,1.404197939478856,6.348240319990518,0.01404197939478856
-0.024646875,1.400568604389846,6.351901173512271,0.01400568604389846
-0.024640625,1.404197939478856,6.348240319990518,0.01404197939478856
-0.024634375,1.400568604389846,6.25305812842493,0.01400568604389846
-0.024628125,1.400568604389846,6.128589108685317,0.01400568604389846
-0.024621875,1.396939269300837,6.128589108685317,0.01396939269300838
-0.024615625,1.400568604389846,6.128589108685317,0.01400568604389846
