#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2E102
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 68
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 Ω
#Average: 1
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.46263 V
#Offset: 0.000174139 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.51599 V
#Offset: -9.29258e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,2.474346756676308,1.589641362686183,0.06869216212083024
110.8603178422692,2.290445004544043,1.591332708615168,0.06364871724385408
122.9001007208894,2.32030619620612,1.590715061936552,0.06445439951365227
136.247442287647,2.25306234317969,1.589068298531274,0.0625197272586611
151.0443475720475,2.266651192765609,1.591580703859767,0.06299663772182257
167.4482438011536,2.224502088665478,1.590027349037059,0.0617636667512562
185.6336552992566,2.23982324591405,1.59711724465571,0.0624667949543025
205.7940602869781,2.259272958665203,1.595169978072863,0.06293296746550739
228.143949334655,2.442638887461727,1.591370667334255,0.06788459076483393
252.9211073703037,2.438956251864793,1.593869977667945,0.06788857546784802
280.3891435209056,2.611759450400248,1.594844569654949,0.07274947385205746
310.840295702492,2.754820113193416,1.594506257688366,0.07672407862643014
344.5985397976318,2.740913282219046,1.595811296530548,0.07639864660099874
382.0230364994732,3.070903877907051,1.595703479447368,0.08560752165883144
423.5119524940032,3.25993547868148,1.5939043135472,0.0907857338619292
469.5066966348521,3.474771606902395,1.596714597230939,0.09695357427792933
520.4966161801352,3.792498615731131,1.600172228802382,0.1060728990470074
577.0242030555539,4.068141662354758,1.597957565252331,0.1136499757376174
639.6908655342066,4.385607788593247,1.59590710855416,0.1223951156017171
709.1633267391837,4.787752341931325,1.59604248233153,0.1336798590887751
786.1807180438691,5.086868881143856,1.602027081524891,0.1426070365347007
871.5624428380668,5.658883932005402,1.602348376281952,0.1587743950847088
966.2168943241268,6.257069946366768,1.606253578403262,0.1761139586894114
1071.151120093428,6.871280045392789,1.603728355241414,0.1932568512784889
1187.481536306599,7.479643415007788,1.602423781505223,0.2103839281143722
1316.445805467756,8.226067889422145,1.602268695721516,0.2316346177148507
1459.416004162775,8.929199384381434,1.609734020179823,0.2529181660872299
1617.913220855796,9.707572704776927,1.612141314071464,0.2757876664827076
1793.623739052829,10.72195174967748,1.611834110953406,0.3051988538746646
1988.416978008356,11.72206602234498,1.615734010238067,0.3352514252861241
2204.365381849707,12.85309464432414,1.618975643315806,0.3694002805186701
2443.766468723535,14.15309486105528,1.619480735046206,0.408381242340866
2709.167274549708,15.55422788375777,1.619326562634771,0.4507299265154455
3003.391451444546,16.98530780682127,1.626415515602016,0.4967891197247127
3329.569309118962,18.29949841244164,1.626691785236798,0.5379610739391903
3691.171118867925,20.13771281326457,1.629875794207622,0.5976666074982853
4092.044034479024,22.01128496898623,1.635045955383963,0.660976083317243
4536.45302286906,24.03154567673768,1.63176473730645,0.7275852337755286
5029.126239917861,26.36047206464992,1.633176299477446,0.8093118776324451
5575.3053342619,28.43089052677883,1.641040518664627,0.8884510461397267
6180.801214239727,31.19642158260633,1.633839668212221,0.9893490116686499
6852.055871304993,33.48366299756979,1.64544811084001,1.088423757954114
7596.21091765858,36.28524533241092,1.644817245030788,1.207586381622835
8421.183567285443,39.10264812822098,1.643736525311912,1.335954589348767
9335.750868773583,41.91367977738073,1.652258402661465,1.483198903842959
10349.6430860848,44.63151682260685,1.654589662021152,1.633443226441265
11473.64722077403,47.31481362035366,1.669542381325585,1.810204594139749
12719.72177705077,50.05295902299601,1.676784243505332,2.002068891466632
14101.1239906908,52.77143348446775,1.685343394469455,2.218060702933934
15632.55087541229,55.49329837365206,1.686523518785941,2.453292166487946
17330.2955873365,57.9676815248396,1.69973709324498,2.716736826807922
19212.42077112597,60.47347607566129,1.702846056476587,3.006521903573654
21298.95073206439,62.55316486092501,1.727564064494002,3.326151511392243
23612.08447863488,64.66277482295882,1.744126487360559,3.683532097831421
26176.43190219973,66.57437115036038,1.765058033757618,4.073807970299036
29019.27560654375,68.3861131616534,1.784683939350194,4.504407116647052
32170.86117293846,70.22010557823735,1.796261164356323,4.994806012440701
35664.71894891473,71.57809735370014,1.834800628273664,5.508582558549981
39538.02078431883,72.9952897464092,1.86857020818378,6.110021190364861
43831.9755100383,74.30014964053804,1.896742041697398,6.747942372276482
48592.26736697403,75.54447938201592,1.927211414604043,7.475910733070871
53869.5420497926,76.45727899424672,1.99256861322021,8.272467743944665
59719.94553657491,77.35078449285574,2.055030357185589,9.156724431814464
66205.72143707698,78.11610516719414,2.132354232611668,10.13286118814704
73395.8732149108,78.95038019556779,2.191815774188931,11.22400975595635
81366.89832915901,79.49629361711017,2.303911707938941,12.42630901712291
90203.60210610159,79.93157298485343,2.439595133230597,13.7396581280798
100000,80.42315572091147,2.572926697816675,15.2495337655842
