#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2E102
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 68
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.46263 V
#Offset: 0.000174139 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.51599 V
#Offset: -9.29258e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,8.914565631357284,2.002253495173766,0.3140660420916557
110.8603178422692,7.963143713032205,2.009416502423002,0.2810870763051891
122.9001007208894,7.87315653033269,2.028028780233345,0.2804438708774156
136.247442287647,8.065122988836574,2.051688184830605,0.2907243819252023
151.0443475720475,6.781462754579062,2.059071283999282,0.2448537555878715
167.4482438011536,6.508502898712348,2.088634146881037,0.2382837918384007
185.6336552992566,7.032223015501634,2.061343228286477,0.2542779768512087
205.7940602869781,6.683056799316494,2.0728399102184,0.2428813192153988
228.143949334655,6.55692376169698,2.050214374279972,0.2356560003023142
252.9211073703037,5.860484998164665,2.09901352260621,0.2154489715621408
280.3891435209056,6.154756240559187,2.064085314764018,0.2225824172208297
310.840295702492,5.181772250965093,2.106268163197937,0.1910098127508605
344.5985397976318,5.266335478008926,2.094501396908063,0.1930598584481409
382.0230364994732,5.656818934480401,2.110250995742323,0.2090249328079073
423.5119524940032,5.670982250432158,2.099055375426319,0.2084399652315755
469.5066966348521,4.037910424278944,2.114376159572041,0.1492574918993377
520.4966161801352,5.200228931136612,2.126400685718671,0.1935261886968825
577.0242030555539,5.490333827149361,2.117312918668858,0.2035135351356357
639.6908655342066,5.418203841455554,2.105080801177459,0.1996635390229777
709.1633267391837,6.234220279071637,2.075364826727617,0.2267110039219494
786.1807180438691,6.109025450095707,2.077940986622707,0.2223988988598533
871.5624428380668,6.857225151590213,2.108176698826886,0.2535206236544435
966.2168943241268,7.575565760308379,2.10931201488915,0.2805268163414892
1071.151120093428,7.553166847935631,2.137887443420148,0.2834766769383763
1187.481536306599,8.081717958939105,2.11333109699671,0.3000836020885986
1316.445805467756,9.317941571930108,2.121015608389846,0.3480116453728744
1459.416004162775,9.001543231835473,2.14502484526985,0.3397977842999453
1617.913220855796,10.56173080082129,2.173640341142692,0.4052832474617469
1793.623739052829,11.01147104067074,2.163367869498944,0.4209656200343109
1988.416978008356,12.19858758192434,2.062820139492912,0.4459442727180778
2204.365381849707,13.48087219291986,2.141171085683237,0.5132937419600639
2443.766468723535,14.36087737797333,2.197240242998855,0.5625564646848318
2709.167274549708,15.92050332840546,2.124535325319475,0.606011848241222
3003.391451444546,16.19382135041801,2.180364265214173,0.6331994128710298
3329.569309118962,17.21561514334577,2.18360872666078,0.6765920054175298
3691.171118867925,18.80959871744667,2.264429876842082,0.7712981565851948
4092.044034479024,19.6027159667603,2.219907100867665,0.7905919356884791
4536.45302286906,22.59556768624534,2.233271373803038,0.9294184585489558
5029.126239917861,24.15921052845956,2.259134236638058,1.013362660350294
5575.3053342619,26.78952785083532,2.230127845126904,1.126007068022592
6180.801214239727,27.72183151095328,2.252554242880675,1.183712508451296
6852.055871304993,28.96125867420957,2.323319989793111,1.285784438123132
7596.21091765858,32.08265163043254,2.281297795774298,1.430093035928124
8421.183567285443,34.03232859870538,2.324608186383128,1.569877130014397
9335.750868773583,36.23589214491513,2.34012719039099,1.714966416782382
10349.6430860848,38.01172806975029,2.339245612512866,1.828390205690422
11473.64722077403,40.5425753669519,2.383732221625233,2.038964985176539
12719.72177705077,42.46113427932957,2.433289098909351,2.226664023306494
14101.1239906908,46.10003150703606,2.403503081826595,2.49761199496694
15632.55087541229,47.05957794499004,2.465931808894876,2.649907133192757
17330.2955873365,50.15601947208442,2.496772305752343,2.99204606474348
19212.42077112597,52.41217717547848,2.483787173744913,3.226681758259714
21298.95073206439,55.62289924122452,2.467869188535345,3.607323965750274
23612.08447863488,57.40105982729055,2.554980918383464,3.995275135413463
26176.43190219973,60.18807085135779,2.507187482229436,4.375683375843884
29019.27560654375,61.59526154754377,2.593794255688255,4.796174020426707
32170.86117293846,64.11170911898735,2.552269321496331,5.258926117751689
35664.71894891473,65.1737947834638,2.694184106851245,5.823751853163377
39538.02078431883,67.91411514386159,2.594897047467045,6.394979916740971
43831.9755100383,69.42115075029005,2.68218396420186,7.143840947466573
48592.26736697403,72.51994332479974,2.502789384618224,7.947478650856588
53869.5420497926,73.58734107800437,2.60293590802873,8.836808731668814
59719.94553657491,75.97390919229974,2.438078050667957,9.759661768477054
66205.72143707698,76.39604899877364,2.615917806521036,10.8096466744976
73395.8732149108,77.55186918453943,2.631131446547921,11.91932137168242
81366.89832915901,78.35331130872156,2.753060752498333,13.35660051258958
90203.60210610159,80.68668773639769,2.382438055271487,14.5275164017326
100000,79.84646713807602,2.97934873913595,16.63592473257232
