#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2E102
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50 Hz
#Stop: 100000 Hz
#Steps: 68
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.46263 V
#Offset: 0.000174139 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.51599 V
#Offset: -9.29258e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
50.00000000000005,66.75241253981957,1.684488114618327,3.921207506665106
56.00658711070128,68.26696674415376,1.763514948710714,4.424091109890008
62.73475599577127,69.39293696174767,1.858366085610843,4.942252882232647
70.27119153091498,69.85552476061109,2.017188229198356,5.498995757233679
78.71299219697912,70.41212101776865,2.176772313960392,6.117181609405354
88.16892108448111,70.7953961158766,2.379730675742221,6.831888024079479
98.76080718349054,70.54297018226922,2.677829744889578,7.580019589438426
110.6251150129065,70.59753893973914,2.978350414191137,8.456325031007777
123.9147028120338,70.41433623273161,3.332370418581756,9.365798362183584
138.8007919467763,70.2557830095777,3.707677600357032,10.33001566292908
155.4751729040288,69.97149081382396,4.171464734024286,11.44328555447974
174.1526762960165,69.49783728602291,4.737404843091165,12.66930693627217
195.0739407106918,68.91088916681248,5.371800773650002,13.9292285929008
218.5085130688224,68.18773729054097,6.136443759573306,15.33268604106689
244.7583214323757,67.51896246600882,6.94145070886032,16.77384410442948
274.1615650074272,66.75457318602132,7.893332958593427,18.37627400963993
307.0970714598929,65.7441432504931,9.030589374919856,20.04169409513863
343.9891776831942,64.74906661440532,10.28776955741742,21.81227165745189
385.3131969010455,63.76663439597113,11.6496503846202,23.64045389566663
431.6015425428231,62.72427255174563,13.1964471961796,25.59424577819837
483.4505877907527,61.62531121157558,14.93061395586413,27.64277350590271
541.52834917645,60.45130303369367,16.86074114437682,29.74224896583076
606.5830932213014,59.22962230438986,18.99456731691344,31.90117089936678
679.4529770075476,58.04099688930258,21.30242827646517,34.14535352521009
761.0768468879688,56.74915329019366,23.86659872753722,36.40143955535762
852.5063344633768,55.53985726612312,26.61104002977402,38.77706395169848
954.919405670954,54.19848368246402,29.67680900915886,41.14561529260541
1069.635537548186,52.98875548360899,32.86527711069205,43.59589185308106
1198.132718207883,51.58873954258654,36.48924713705097,46.01938985040548
1342.066489049819,50.21136902198197,40.40846563690191,48.51932027463616
1503.291274546432,48.82303893601156,44.60702104655889,50.99554971537523
1683.884274412836,47.31913637466039,49.3352751594856,53.49996724817399
1886.172225984848,45.83175107031811,54.43473919076548,56.03857021087712
2112.761381608109,44.19782992820042,60.08354865005349,58.42427045681196
2366.571087263201,42.43078285959214,66.39178278015851,60.68947186141155
2650.871395049464,40.48011993811923,73.50843934313555,62.73804089975373
2969.325194122077,38.32837155900108,81.58144216450717,64.49475981553445
3326.035402891956,35.90497803775132,90.69838025481027,65.66668802154317
3725.597830506888,33.16904463088878,100.9534456796217,65.98421291480989
4173.16038867447,29.9798965067014,112.8741472514923,65.11512413355683
4674.489416704484,26.33754273784,126.411339963752,62.57947177837181
5236.043974294212,21.84991750155688,141.4275824148808,56.70997388966695
5865.059059235416,16.47734689226385,157.3223152132864,46.53334236984262
6569.638822209507,10.07693008827481,173.0721155923092,30.75694652349154
7358.860979638424,2.528274782517921,185.8913559077781,8.208103900784073
8242.893769833192,-6.128124305614632,192.5712791458477,-20.67554335095129
9233.126959288369,-15.70557426480671,188.759878637297,-53.07782481465567
10342.31858699096,-25.72800086177917,173.3600502418744,-83.53692794399393
11584.75933737865,-35.65983407993669,148.3651462405566,-106.4535398112354
12976.45665970813,-44.95405954103196,118.8429168690145,-118.6524900971002
14535.34100600365,-53.24759241674393,90.25956644615444,-120.8616244719504
16281.4968447298,-60.43414484668583,65.7026146711821,-115.8181711778334
18237.42142653933,-66.56043809555533,46.29141008843166,-106.7708080766441
20428.31463600085,-71.81671744347238,31.50260357455502,-95.91001886280138
22882.40366371989,-76.2102861647063,20.82529655889459,-84.85117681630797
25631.30668188712,-80.05966478439024,13.02714618353823,-74.33317805176056
28710.44020880415,-83.39342454066295,7.469297701754184,-64.49043034356696
32159.47541081937,-86.52541339001307,3.383293789725319,-55.72195716966462
36022.84922061014,-89.40256960014614,0.4992924410092841,-47.88225178059115
40350.33685699514,-92.26865768224494,-1.612739166745606,-40.70902951803532
45197.69312254871,-95.08588073956541,-3.074026146064972,-34.53991557102594
50627.37074141527,-98.7266401399346,-4.368358931793364,-28.4588496983821
56709.3249922968,-102.197413324287,-5.073023819847081,-23.46879395994798
63521.9150034027,-106.8772229464784,-5.599489222753986,-18.45646435243859
71152.91332153257,-113.2462202650249,-5.968501107661765,-13.89458978061763
79700.63676245173,-122.8142757429018,-6.297447574233934,-9.766380914642552
89275.21311229207,-140.7576287489624,-6.534672288873941,-5.337600478379786
100000,-168.9448277806497,-7.01150125371905,-1.369905829999195
