Vset,DOV,Vout
.7,.008,.671
1.4,.008,1.058
2.0,.741,1.501
2.3,.965,1.682
2.8,1.37,2.04
3.3,1.792,2.542
3.8,2.2,2.87
4.0,2.381,2.99
4.4,2.735,3.228
5.3,3.535,3.755
5.9,4.055,4.096
6.3,4.41,4.327
7.0,5.0,4.722
