Vset,DOV,Vout
.7,.008,.679
1.4,.008,1.072
2.0,.780,1.733
2.3,.995,1.97
2.8,1.381,2.397
3.3,1.795,2.868
3.8,2.196,3.37
4.0,2.364,3.566
4.4,2.733,3.95
5.3,3.55,4.776
5.9,4.081,5.297
6.3,4.42,5.619
7.0,5.004,6.177
