Vset,DOV,Vout
.7,.009,.679
1.4,.009,1.07
2.0,.633,1.655
2.3,.814,1.895
2.8,1.121,2.381
3.3,1.411,2.82
3.8,1.71,3.163
4.0,1.845,3.303
4.4,2.112,3.565
5.3,2.7,4.165
5.9,3.071,4.53
6.3,3.311,4.778
7.0,3.742,5.208
