Vset,Vin,Vout
.7,.007,.636
1.4,.007,1.268
2.0,.004,1.808
2.3,.726,2.171
2.8,1.017,2.655
3.3,1.3,3.143
3.8,1.584,3.641
4.0,1.704,3.839
4.4,1.976,4.234
5.3,2.524,5.123
5.9,2.865,5.723
6.3,3.168,6.107
7.0,3.533,6.759
