#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E782
#Date Time: 2023-10-25 14:27:39.981
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 319.5 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 100 mV
#Offset: 100 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 100 mV

Time (s),Channel 1 (V),Channel 2 (V)
-0.001023785714285714,-0.9588698703094856,0.005260522781607901
-0.001023535714285714,-0.940733287591456,0.007244666168396019
-0.001023285714285714,-0.9334786545042522,0.00790604729732469
-0.001023035714285714,-0.9371059710478523,0.008236737861789476
-0.001022785714285714,-0.9298513379606435,0.008898118990718899
-0.001022535714285714,-0.9262240214170383,0.01088226237750672
-0.001022285714285714,-0.9080874386990119,0.009890190684112806
-0.001022035714285714,-0.8935781725245941,0.00889811899071965
-0.001021785714285714,-0.9008328056117997,0.01055157181304253
-0.001021535714285714,-0.8972054890681979,0.01154364350643554
-0.001021285714285714,-0.8790689063501698,0.0135277868932238
-0.001021035714285714,-0.8754415898065646,0.01451985858661771
-0.001020785714285714,-0.8573050070885382,0.01518123971554699
-0.001020535714285714,-0.8427957409141171,0.01749607366679944
-0.001020285714285714,-0.8427957409141089,0.01848814536019304
-0.001020035714285714,-0.8246591581960989,0.01782676423126438
-0.001019785714285714,-0.8210318416524872,0.0194802170535865
-0.001019535714285714,-0.799267942390854,0.02113366987591044
-0.001019285714285714,-0.7775040431292224,0.02146436044037507
-0.001019035714285714,-0.7557401438675908,0.02377919439162753
-0.001018785714285714,-0.748485510780377,0.02576333777841519
-0.001018535714285714,-0.7412308776931714,0.02543264721395101
-0.001018285714285714,-0.7448581942367732,0.02609402834287967
-0.001018035714285714,-0.7448581942367749,0.02840886229413138
-0.001017785714285714,-0.7267216115187487,0.03006231511645561
-0.001017535714285714,-0.7230942949751433,0.02873955285859707
-0.001017285714285714,-0.7049577122571171,0.03006231511645561
-0.001017035714285714,-0.7013303957135101,0.03072369624538594
-0.001016785714285714,-0.6977030791698982,0.03303853019663795
-0.001016535714285714,-0.6795664964518884,0.03436129245449528
-0.001016285714285714,-0.6868211295390907,0.03667612640574833
-0.001016035714285714,-0.6723118633646696,0.03866026979253614
-0.001015785714285714,-0.6541752806466432,0.04031372261485933
-0.001015535714285714,-0.6360386979286137,0.03998303205039499
-0.001015285714285714,-0.6287840648413999,0.04064441317932516
-0.001015035714285714,-0.614274798666992,0.04328993769503985
-0.001014785714285714,-0.58888358286176,0.04362062825950554
-0.001014535714285714,-0.5816289497745379,0.04362062825950569
-0.001014285714285714,-0.5707470001437223,0.04560477164629351
-0.001014035714285714,-0.5489831008820907,0.04791960559754596
-0.001013785714285714,-0.5344738347076629,0.04957305841987034
-0.001013535714285714,-0.5199645685332335,0.05221858293558714
-0.001013285714285714,-0.4873187196408159,0.05420272632237315
-0.001013035714285714,-0.4764367700099852,0.0555254885802326
-0.001012785714285714,-0.4655548203791695,0.05585617914469723
-0.001012535714285714,-0.4510455542047484,0.05618686970916187
-0.001012285714285714,-0.4220270218559062,0.05618686970916187
-0.001012035714285714,-0.4220270218558964,0.05717894140255773
-0.001011785714285714,-0.4002631225942845,0.06147791874059409
-0.001011535714285714,-0.3857538564198602,0.06445413382077642
-0.001011285714285714,-0.3821265398762483,0.06412344325631314
-0.001011035714285714,-0.3748719067890378,0.0637927526918485
-0.001010785714285714,-0.3422260578965904,0.06577689607863632
-0.001010535714285714,-0.3458533744401924,0.06809173002988908
-0.001010285714285714,-0.3385987413529769,0.06875311115881835
-0.001010035714285714,-0.3204621586349671,0.06941449228774701
-0.001009785714285714,-0.3132075255477483,0.07172932623899976
-0.001009535714285714,-0.2878163097425114,0.07536692244811076
-0.001009285714285714,-0.2696797270244851,0.0766896847059693
-0.001009035714285714,-0.2624250939372745,0.07702037527043394
-0.001008785714285714,-0.2660524104808715,0.07834313752829369
-0.001008535714285714,-0.2479158277628617,0.08098866204400837
-0.001008285714285714,-0.2261519285012318,0.08264211486633201
-0.001008035714285714,-0.2043880292395903,0.0839648771241913
-0.001007785714285714,-0.1826241299779587,0.08594902051097912
-0.001007535714285714,-0.1681148638035376,0.08826385446223158
-0.001007285714285714,-0.149978281085508,0.09024799784901909
-0.001007035714285714,-0.1427236479982876,0.08958661672009058
-0.001006785714285714,-0.1137051156494718,0.09057868841348357
-0.001006535714285714,-0.09556853293143232,0.09289352236473648
-0.001006285714285714,-0.06655000058259018,0.0948776657515243
-0.001006035714285714,-0.03753146823374806,0.0985152619606353
-0.001005785714285714,-0.02664951860293226,0.09785388083170603
-0.001005535714285714,-0.01576756897210656,0.09917664308956516
-0.001005285714285714,0.005996330289505233,0.1004994053474225
-0.001005035714285714,0.02776022955113683,0.1008300959118876
-0.001004785714285714,0.02776022955114673,0.1044676921209987
-0.001004535714285714,0.04952412881277832,0.1057904543788573
-0.001004285714285714,0.06403339498719939,0.108766669459039
-0.001004035714285714,0.07128802807442147,0.1090973600235041
-0.001003785714285714,0.09667924387965009,0.1100894317168985
-0.001003535714285714,0.103933876966854,0.1120735751036845
-0.001003285714285714,0.1148158265976731,0.1130656467970793
-0.001003035714285714,0.14020704240291,0.1147190996194025
-0.001002785714285714,0.1619709416645416,0.1170339335706549
-0.001002535714285714,0.1655982582081468,0.116041861877261
-0.001002285714285714,0.1801075243825696,0.1176953146995851
-0.001002035714285714,0.1837348409261715,0.1196794580863711
-0.001001785714285714,0.2054987401877948,0.1229863637310169
-0.001001535714285714,0.2272626394494364,0.1239784354244123
-0.001001285714285714,0.2417719056238574,0.1249705071178062
-0.001001035714285714,0.2707904379726996,0.1266239599401294
-0.001000785714285714,0.2780450710599167,0.1289387938913829
-0.001000535714285714,0.2925543372343328,0.1312536278426344
-0.001000285714285714,0.2961816537779348,0.1315843184070988
-0.001000035714285714,0.3143182364959627,0.1332377712294221
-0.0009997857142857143,0.3433367688448049,0.1358832957451392
-0.0009995357142857143,0.357846035019226,0.1381981296963916
-0.0009992857142857143,0.3796099342808575,0.1411743447765734
-0.0009990357142857142,0.3941192004552869,0.1424971070344319
-0.0009987857142857144,0.4122557831732966,0.1424971070344319
-0.0009985357142857144,0.4158830997169085,0.1428277975988964
-0.0009982857142857144,0.4340196824349365,0.1441505598567551
-0.0009980357142857143,0.4521562651529629,0.1438198692922904
-0.0009977857142857143,0.4630382147837787,0.1471267749369368
-0.0009975357142857143,0.4775474809582096,0.1491109183237257
-0.0009972857142857142,0.4993113802198346,0.1514257522749761
-0.0009970357142857144,0.5065660133070384,0.1494416088881902
-0.0009967857142857144,0.5247025960250682,0.1507643711460478
-0.0009965357142857143,0.5428391787430946,0.152417823968371
-0.0009962857142857143,0.5428391787430946,0.1544019673551588
-0.0009960357142857143,0.5464664952866998,0.1540712767906942
-0.0009957857142857142,0.5754850276355469,0.1557247296130184
-0.0009955357142857144,0.5863669772663528,0.1580395635642687
-0.0009952857142857144,0.5899942938099613,0.1587009446931988
-0.0009950357142857144,0.6081308765279894,0.1600237069510576
-0.0009947857142857143,0.6298947757896209,0.1610157786444515
-0.0009945357142857143,0.6516586750512525,0.163330612595704
-0.0009942857142857143,0.6661679412256786,0.1633306125957047
-0.0009940357142857142,0.6770498908564909,0.1649840654180273
